1933,,,,,,,0.06,0.02,0.04,,0.13,0.02,,,,0.15,,,,,,,,,,,,,,0.28,,0.7,0.09999999999999999
1934,0.18,0.02,,,,,,,0.03,,,,,,,0.25,,,,,,,0.03,0.13,,,0.22,,,0.22,,0.88,0.135
1935,,,0.18,0.27,0.11,0.04,0.5,0.1,,,,1.08,,0.24,0.3,,0.02,,,0.41,0.01,0.21,,,,,,,,,,2.38,0.26692307692307693
1936,,,0.05,,,,,,,,,,,,,,,,,,,0.08,0.01,0.17,0.02,,0.02,0.05,,0.05,,0.43,0.05625
1937,0.28,0.09,0.03,,0.3,0.12,,,0.21,0.11,0.18,,0.55,0.07,0.57,0.02,,,,0.06,0.46,0.02,,,0.01,,,0.53,0.02,,,3.13,0.20166666666666663
1938,,,,0.12,0.08,,,,0.01,,,0.12,,,,0.15,0.26,0.22,,,,,,,0.02,,,,,,,0.98,0.1225
1939,,,,,,,,,,,,0.4,,,,,,,,,,,,,0.12,,,,,,,0.52,0.26
1940,0.4,0.07,,,0.26,,0.01,0.07,0.29,0.91,,,,,,,,,,,,,0.26,0.17,,0.31,,0.15,,,,2.16,0.2636363636363636
1941,,0.44,0.33,0.03,0.01,,,,,0.32,0.82,,,,0.01,,,,,,,,,,,,0.01,,,,,2.06,0.24625
1942,0.17,,,,,,,,,,,,,0.17,,,0.33,,,,,0.03,,,0.14,0.01,,,0.11,,,0.96,0.13714285714285715
1943,0.19,,0.02,,,,,,0.06,,,,,,,,,,,0.01,0.3,0.01,,,,,,0.25,0.31,,,1.15,0.14375000000000002
1944,,,,,0.11,,0.06,0.31,0.2,,,0.53,0.11,0.15,0.01,,,,0.15,0.2,0.06,,,0.4,0.0,,,,,,,2.35,0.17615384615384616
1945,,,0.01,,0.05,0.22,,0.5,0.02,,0.36,0.06,,,,,,,,,,,0.12,0.05,,,,,0.04,0.01,,1.24,0.13090909090909092
1946,,,,,,,,0.12,,0.04,0.13,,0.02,,,,,,,,,,,,,,,,0.38,0.1,,0.79,0.13166666666666665
1947,0.12,,0.02,0.15,,0.19,0.03,,0.1,0.07,0.04,,,,,,,0.3,0.1,,,,,,,,,,0.06,,,1.18,0.10727272727272727
1948,,0.29,0.25,,0.1,0.2,0.09,,0.08,0.01,0.08,0.04,,,0.06,,0.45,0.05,,,,0.03,0.04,0.03,0.24,,,,0.53,0.03,,2.6,0.14444444444444446
1949,,,,,,,,,,,,,,,,,,,0.02,0.13,,,,,,,,0.19,0.33,,,0.8,0.16749999999999998
1950,0.42,0.03,,0.1,,,0.11,,,,,,0.07,,,,,,,,,,,,,,0.35,0.3,,,,1.12,0.19714285714285715
1957,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.17,,,,,0.43,0.21500000000000002
1952,,0.07,0.05,,,,,,,,,,,0.14,0.01,,,,1.1,,,,,,,,,0.57,0.77,,,0.94,0.3871428571428571
