1913,,,0.05,,,,,,,,0.12,,0.05,,,,,,,,,,,,0.04,,,,,,,0.26,0.06499999999999999
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1916,,,,,,,,0.27,0.18,,,,0.22,,,0.04,0.46,0.07,,,,,,,,,,,,,,1.24,0.20666666666666667
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1918,0.11,,,,,,,0.13,0.05,,,,,,,,,0.2,0.15,,0.04,,,,,,,,,,,0.68,0.11333333333333334
1919,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.14,0.16
1920,,,,,,0.16,,0.08,,,,,,,,,,,,,,,,,0.06,,0.23,0.32,0.07,,,0.92,0.15333333333333335
1921,,,,,,,,,,,,,,0.05,,0.08,,,,0.02,,,,,,,,,,,,0.15,0.049999999999999996
1922,,,,0.1,,,,,,,0.36,0.58,,0.3,,,,0.12,,,,,,,,,,,0.04,0.08,,1.49,0.22571428571428576
1923,,,,,,,,,0.05,,,,,,,,,,,0.15,,,,,,,,,,,,0.2,0.1
1924,,,,,,,,,,,,,,,0.039,0.33,,0.013,0.17,,,,,,,,,,,,,0.552,0.138
1925,0.09,,,,,,,,,,,0.01,0.01,0.06,,,,,,,,0.34,0.1,,,,,,,,,0.15,0.10166666666666667
1926,,,,,,,,,,,,,,,,,0.03,0.42,,,,,,,,0.1,,,,1.56,0.21,2.32,0.46399999999999997
1927,0.62,0.07,,,,,,,,,0.08,,,,,,,,,,,0.23,,,,,,0.27,0.32,,0.33,1.12,0.2742857142857143
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.08,0.08
1929,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.1,,0.19,0.06333333333333334
1930,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.04,0.04
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1932,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,0.15,0.15
