,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,25.0,5.3,,,,23.0,,,2.0,2.0,,50.0,,20.0,,,,,,,6.0,,,7.0,,,,21.0,,15.85,"23.8
3. 33",16.104545454545455
89.,,,,,,2.0,,2.0,,,50.0,,,,,2.0,,,,,,,,2.0,3.0,,,,,,,"29.0.
1.16",10.166666666666666
1896,,,,,,,32.0,,,,,,,,,,0.3,0.29,,50.0,0.27,,,,,,,27.0,,,,"8.
1.95",18.310000000000002
1897,,,,,,,,,,,,,,,,,,,4.0,67.0,,,,,,,,,,,,3. 3,35.5
898,,,,,,6.0,,,,,,,2.0,,,,,6.0,,,,4.0,,,2.0,,,,,,,33.,4.0
1899,,,,,,,,,,,,,,,75.0,12.0,14.0,,,47.0,60.0,,,,,,,,,,,10.,41.6
,12.0,19.0,,,,,4.0,13.0,20.0,,28.0,,30.0,13.0,,5.0,,,,,,,,,,,,,,,,"3,03",16.0
1901,,2.0,174.0,14.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,8,48.0
1902,,,,,,,,,,,,,,,,,,,4.0,-3.0,,,,3.0,,,,,,,,,1.3333333333333333
1903,,100.0,45.0,,,,,,15.0,,,,,,,,,15.0,,20.0,20.0,20.0,0.07,0.95,19.0,,2.0,,,,,254,23.365454545454543
1904,,3.2,3.0,,,125.0,25.0,,,5.0,,,3.0,,,,,5.0,,7.0,4.0,,,,,15.0,,,,,22.0,"220
trac",19.745454545454546
,1.5,19.0,,,,,,,,,,,,,,10.0,,,,,,10.0,37.0,,,13.0,26.0,,,,,,16.642857142857142
1906,,,,20.0,1.0,3.0,7.0,2.0,,,,10.0,,,1.0,,0.5,0.1,,,1.0,,31.0,,,,,,,,,"11.90
61",6.963636363636363
1907,0.76,,,,,,1.0,,,,1.0,3.0,,,0.36,,,1.5,,,,,,,,370.0,0.0,9.0,,,8.0,"34,03
2.17",39.462
,,16.0,,,,,,0.05,0.1,,0.01,,,,,,,,5.0,,,,,,,,,,,,,"5.25
133",4.232
1909,,,15.0,,,35.0,1.0,32.0,,,,,18.0,,,23.0,12.0,18.0,29.0,48.0,,,2.0,27.0,,,,,,,,"40
BLE",21.666666666666668
191,,,,1.0,,,,,,,,,,,,,,0.53,,,0.5,34.0,65.0,,,4.0,,,,,1.0,"12.0
3.03",15.147142857142857
1911,,,,,,,,,,,,,,,,,10.0,,73.0,0.25,,,,,,,,,,0.09,20.0,"7.75
140",20.668
"-311
12",,,,4.0,,12.0,,,4.0,5.0,,,,,,,,,,,,,,,20.0,20.0,12.0,30.0,,,,M,13.375
