1893,81.0,78.0,70.0,68.0,65.0,63.0,73.0,81.0,71.0,69.0,62.0,70.0,71.0,74.0,79.0,83.0,90.0,82.0,85.0,92.0,83.0,74.0,77.0,79.0,86.0,82.0,79.0,81.0,86.0,93.0,98.0,78.2,78.2258064516129
1894,78.0,78.0,79.0,98.0,85.0,85.0,82.0,76.0,79.0,72.0,76.0,84.0,87.0,83.0,86.0,82.0,83.0,89.0,85.0,82.0,90.0,84.0,94.0,82.0,67.0,67.0,76.0,98.0,80.0,77.0,86.0,81.6,82.25806451612904
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,74.0,82.0,89.0,94.0,98.0,82.0,90.0,91.0,95.0,92.0,94.0,71.0,85.0,94.0,98.0,95.0,83.0,87.0,90.0,91.0,78.0,82.0,77.0,82.0,76.0,82.0,84.0,83.0,85.0,86.0,86.0,86.4,86.3225806451613
1897,66.0,63.0,64.0,66.0,61.0,62.0,65.0,70.0,79.0,98.0,94.0,83.0,80.0,81.0,74.0,68.0,65.0,73.0,81.0,82.0,75.0,78.0,78.0,20.0,80.0,85.0,84.0,82.0,89.0,71.0,72.0,75.1,73.83870967741936
1898,79.0,83.0,87.0,81.0,71.0,76.0,80.0,87.0,87.0,91.0,95.0,91.0,77.0,78.0,86.0,71.0,65.0,68.0,74.0,73.0,77.0,73.0,74.0,98.0,84.0,78.0,86.0,87.0,91.0,91.0,94.0,81.3,81.70967741935483
1899,83.0,85.0,78.0,80.0,78.0,84.0,84.0,84.0,83.0,80.0,87.0,89.0,93.0,93.0,93.0,96.0,94.0,89.0,85.0,77.0,70.0,69.0,80.0,80.0,85.0,90.0,89.0,89.0,88.0,81.0,78.0,84.3,84.3225806451613
1900,67.0,73.0,76.0,77.0,65.0,73.0,81.0,80.0,,90.0,89.0,73.0,75.0,,91.0,90.0,85.0,81.0,89.0,94.0,95.0,93.0,94.0,101.0,80.0,75.0,82.0,88.0,92.0,95.0,98.0,84.1,84.20689655172414
1901,76.0,72.0,61.0,65.0,80.0,86.0,83.0,76.0,88.0,78.0,79.0,70.0,72.0,74.0,84.0,80.0,84.0,82.0,75.0,89.0,90.0,87.0,90.0,86.0,83.0,77.0,76.0,83.0,89.0,95.0,86.0,80.5,80.51612903225806
1902,61.0,51.0,53.0,50.0,51.0,61.0,,70.0,,81.0,81.0,73.0,78.0,84.0,80.0,71.0,82.0,89.0,,93.0,90.0,82.0,85.0,86.0,86.0,90.0,76.0,73.0,73.0,89.0,77.0,75.6,75.57142857142857
1903,66.0,64.0,71.0,66.0,69.0,69.0,67.0,76.0,74.0,84.0,89.0,86.0,,72.0,80.0,83.0,84.0,87.0,88.0,93.0,93.0,99.0,94.0,,79.0,79.0,78.0,84.0,82.0,70.0,76.0,79.4,79.37931034482759
1904,,,84.0,78.0,88.0,89.0,81.0,80.0,98.0,91.0,,,81.0,,61.0,66.0,65.0,78.0,82.0,90.0,97.0,90.0,82.0,85.0,90.0,94.0,93.0,73.0,70.0,80.0,87.0,82.3,82.8076923076923
1905,,,,,83.0,83.0,82.0,90.0,94.0,91.0,81.0,81.0,70.0,82.0,86.0,71.0,72.0,89.0,95.0,103.0,104.0,104.0,99.0,93.0,91.0,89.0,90.0,86.0,85.0,92.0,92.0,88.1,88.07407407407408
1906,83.0,92.0,96.0,98.0,98.0,99.0,86.0,93.0,94.0,85.0,90.0,93.0,94.0,90.0,93.0,94.0,83.0,88.0,88.0,92.0,88.0,86.0,85.0,8.0,93.0,85.0,89.0,94.0,92.0,92.0,86.0,90.5,87.96774193548387
1907,,,,,,,,84.0,84.0,88.0,88.0,79.0,79.0,74.0,74.0,78.0,78.0,88.0,88.0,89.0,89.0,84.0,83.0,81.0,76.0,89.0,85.0,87.0,87.0,92.0,96.0,85.3,84.16666666666667
1908,89.0,89.0,85.0,72.0,78.0,86.0,93.0,96.0,97.0,97.0,102.0,92.0,82.0,77.0,73.0,75.0,82.0,89.0,92.0,96.0,,,88.0,8.0,81.0,79.0,82.0,83.0,87.0,99.0,99.0,89.1,84.41379310344827
1909,83.0,98.0,91.0,84.0,80.0,59.0,60.0,59.0,57.0,73.0,79.0,78.0,73.0,81.0,90.0,86.0,73.0,71.0,81.0,80.0,91.0,92.0,,,,,,,,,84.0,77.9,78.3913043478261
1910,74.0,75.0,75.0,76.0,81.0,82.0,81.0,82.0,85.0,90.0,93.0,92.0,89.0,99.0,92.0,93.0,83.0,68.0,95.0,85.0,92.0,69.0,81.0,81.0,80.0,77.0,83.0,87.0,86.0,88.0,84.0,84.5,83.80645161290323
1911,76.0,76.0,74.0,77.0,85.0,85.0,64.0,70.0,73.0,74.0,82.0,88.0,95.0,91.0,98.0,99.0,94.0,92.0,92.0,90.0,85.0,76.0,89.0,96.0,95.0,82.0,84.0,92.0,89.0,82.0,85.0,84.5,84.83870967741936
1912,53.0,68.0,69.0,74.0,67.0,70.0,59.0,68.0,77.0,85.0,78.0,84.0,68.0,79.0,87.0,93.0,92.0,88.0,85.0,87.0,83.0,62.0,72.0,28.0,80.0,74.0,88.0,92.0,98.0,99.0,89.0,79.2,77.29032258064517
