1933,,,0.21,0.01,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.3,0.09999999999999999
1934,,,,,,,,,,,,,,,,,,,,0.11,0.07,,,,0.01,,,,,,,0.19,0.06333333333333334
1935,,,,,,0.1,0.22,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.16
1936,,,,,,,,0.03,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,0.08,0.02666666666666667
1937,0.14,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,0.09,,,,0.3,0.10000000000000002
1938,,0.02,,,0.07,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.08666666666666667
1939,,,0.42,0.05,0.12,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,0.65,0.16249999999999998
1940,,,,,,,,,,,,,,,,,,0.18,,0.1,,,,,,0.1,0.2,,,,,1.04,0.14500000000000002
1941,,,,0.03,,,0.16,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.21,0.06999999999999999
1942,,,,,,,,,,0.15,,,,0.18,0.53,0.02,,,,,,,,,,,,,,,,0.88,0.22
1943,,,0.25,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,0.53,0.265
1944,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,0.19
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1946,,,,,,,,0.02,0.24,,,,,,,,,,,,,,,,,,,,,,,0.26,0.13
1947,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.91,,,,0.24,0.495
1948,,,,,0.25,,0.26,,,0.06,0.05,,,,,,,,0.36,0.12,,,,,,,0.61,0.57,0.03,,,1.89,0.2566666666666666
1949,,,,,,0.02,,,,,,,,,,,,,10.0,,,,0.58,0.32,,0.1,0.2,,,,,0.38,1.8699999999999999
1950,,,,,,,,,0.04,,,,,,,,,,0.11,,,,,,,,,90.0,0.04,0.05,,0.3,18.048000000000002
1951,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3
1952,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07
