1893,,,,,,,,,,,0.07,,,,,0.06,,,,,,,,,,,,,,,,0.13,0.065
1894,0.24,,,,,,0.05,,0.05,,,,,,,,,,0.48,,,,,0.01,,,,0.03,0.04,,,0.9,0.1285714285714286
1895,,,,,,,,,,0.04,,,,,,0.15,,,,,,,,,,,,,,,,0.19,0.095
1896,0.05,,,0.06,0.6,0.07,,0.24,,,,,,,,,,,,,,,,,,,,,0.04,,,1.06,0.17666666666666667
1897,,,,,,,,,,,0.03,,,,0.55,0.05,1.0,0.2,0.23,,0.06,,0.1,,0.06,,0.6,,,,,2.34,0.288
1898,0.03,,,,,,,,,,0.05,,0.5,0.13,,0.4,0.05,0.14,,,,,,,,,,,,0.24,,2.44,0.1925
1899,40.0,0.2,,,0.34,,,,,,0.11,0.11,0.02,,,,,,,,,,,,0.07,0.8,,,,,,1.53,5.20625
1900,,,,,,,,,,,,,,,,0.16,,,,,,,,,0.32,,,,,,,0.48,0.24
1901,0.3,0.15,0.17,0.04,,,,,0.1,0.03,,0.27,0.12,,,,,,,0.02,,,,,,0.12,0.02,,,,,1.34,0.12181818181818184
1902,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.045
1903,,,,,,,,,,,,0.38,0.01,,,0.13,,,,0.01,,0.5,,,20.0,0.01,0.02,0.2,,,,1.46,2.3622222222222224
1904,0.53,1.35,0.08,,,0.67,,,,0.1,,,,,,,,,,,,,,,,,,,,,,2.73,0.546
1905,,,0.77,,,,,,,0.66,,,,,,,,,,,,0.24,0.97,0.06,0.1,0.42,0.24,,,,,3.46,0.4325
1906,,,,0.15,,,,,,,,,,,0.1,0.15,,,,,0.16,,,,,,0.26,,,,,0.82,0.164
1907,,,,0.17,,,,,0.12,0.55,0.28,,,,,,,,,,,,0.48,,,,,0.5,,,,4.65,0.35000000000000003
1908,,,0.4,0.12,,,,,,0.3,,,,,,,,,,,,,,,,0.15,,,,,,0.97,0.24250000000000002
1909,,,,,,,,0.35,0.05,,,,,,,,,,0.04,,,,,,,,0.18,,,,,0.62,0.15499999999999997
1910,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.25,0.25
1911,,,,,,,,71.0,,,,,,,,,,,,0.11,0.5,,0.27,0.14,,,0.38,,,,,0.91,12.066666666666665
1912,,,,,,,,,,,,0.47,,0.11,,,,,,,,,,,,,0.14,0.19,0.09,0.09,,1.09,0.18166666666666664
