1893,36.0,37,42.0,45.0,40,42,40,41,34,38.0,41.0,38.0,38,39,44,45,44,40,40,42,46,46,49,41,49,45,46,61,61,46,43.0,43.2,43.193548387096776
1894,40.0,40,26.0,31.0,30,32,39,41,38,36.0,41.0,40.0,41,39,46,41,36,42,37,41,45,48,47,53,58,54,55,51,50,44,45.0,42.2,42.16129032258065
1895,45.0,39,42.0,45.0,43,47,55,57,55,47.0,44.0,33.0,30,32,35,45,53,34,57,39,39,40,40,45,61,61,60,46,45,49,62.0,46.6,45.96774193548387
1896,14.0,22,22.0,25.0,34,31,38,40,45,51.0,53.0,55.0,45,44,51,32,56,62,66,55,48,58,59,50,52,53,45,36,40,37,41.0,44.5,43.87096774193548
1897,32.0,44,44.0,41.0,40,38,34,37,36,32.0,22.0,15.0,22,36,37,38,38,36,35,34,32,35,36,50,50,43,39,36,45,40,47.0,37.5,36.903225806451616
1898,54.0,50,46.0,44.0,50,58,47,40,40,43.0,53.0,35.0,34,36,37,41,40,38,40,34,23,33,39,39,33,32,38,39,40,47,48.0,40.8,41.0
1899,41.0,39,40.0,38.0,45,52,48,46,39,38.0,40.0,34.0,33,34,34,42,41,50,49,38,31,39,47,43,41,47,47,48,47,46,49.0,42.1,42.12903225806452
1900,44.0,47,47.0,48.0,42,42,49,50,55,60.0,60.0,59.0,58,63,64,61,68,60,57,62,63,64,49,49,49,49,51,50,50,59,68.0,54.5,54.74193548387097
1901,58.0,50,42.0,41.0,53,52,42,43,43,41.0,43.0,45.0,49,55,61,61,56,49,54,60,56,30,42,52,48,46,47,43,42,48,47.0,47.2,48.354838709677416
1902,42.0,46,41.0,44.0,54,56,51,46,43,45.0,46.0,48.0,49,40,33,35,47,49,43,44,45,43,49,50,49,50,45,46,41,46,60.0,46.1,46.0
1903,44.0,44,39.0,34.0,32,37,40,40,39,48.0,50.0,40.0,34,34,39,39,40,40,48,50,56,61,66,66,60,54,59,55,61,54,48.0,46.8,46.806451612903224
1904,35.0,31,,,40,48,56,58,42,45.0,,44.0,40,47,47,45,52,44,46,45,39,38,31,36,35,40,38,46,44,42,48.0,42.9,42.92857142857143
1965,67.0,68,66.0,39.0,60,54,59,63,64,61.0,51.0,55.0,51,59,66,63,50,50,46,50,42,45,44,46,46,46,43,45,38,41,46.0,53.5,52.38709677419355
1906,40.0,40,43.0,44.0,48,48,63,63,57,48.0,,,22,22,48,36,34,36,41,46,55,58,56,54,60,59,55,59,62,62,57.0,49.2,48.827586206896555
1907,41.0,42,43.0,50.0,52,48,48,53,54,49.0,41.0,39.0,36,40,37,39,42,44,60,56,47,45,45,43,49,44,39,41,39,59,59.0,45.93,45.935483870967744
1908,,42,41.0,53.0,34,40,42,47,53,57.0,52.0,51.0,53,53,56,45,46,39,47,47,48,50,54,65,51,39,37,43,45,42,44.0,46.9,47.2
1909,43.0,49,55.0,45.0,43,48,44,42,39,,42.0,51.0,58,56,59,62,41,45,44,44,50,54,61,58,60,59,54,54,56,53,56.0,50.9,50.833333333333336
1910,54.0,54,52.0,54.0,52,48,52,68,62,56.0,60.0,62.0,67,68,67,62,64,62,64,34,56,61,34,44,41,51,52,52,50,56,56.0,55.8,55.32258064516129
1911,36.0,41,42.0,41.0,41,48,42,45,47,40.0,42.0,50.0,53,55,44,56,63,58,66,59,56,61,50,47,40,39,49,55,49,53,50.0,49.0,48.96774193548387
1912,32.0,28,26.0,36.0,42,38,36,35,37,40.0,39.0,47.0,39,38,40,41,39,39,39,41,43,50,49,47,54,55,58,48,43,53,55.0,42.2,42.16129032258065
