1913,,,,,,,24.0,22.0,12.0,24.0,,,14.0,,,,,,,,,,,70.0,,,,,,,7.0,1.93,24.714285714285715
,29.0,6.0,,,,,,,16.0,44.0,,3.0,,,,,,7.0,36.0,1.0,,,,,,,,,,,105.0,,27.444444444444443
1915,16.0,69.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,2.3,37.333333333333336
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,15.0,,40.0,15.0,2.0,,30.0,,,,24.0,,13.0,2.0,,,,,,,,0.09,4.0,,50.0,5.0,,,,"1,72",16.674166666666668
1919,,,,,,,,,,,,,,,,,,,,,0.05,17.0,,,,,,,7.0,,,"3.3
0.39",8.016666666666667
1920,6.0,,,,,15.0,,,12.0,0.08,23.0,,,2.0,,,,0.05,,,,,,,,,30.0,,,,,/33,11.01625
1921,,,,,,,,,,,,,,18.0,9.0,13.0,,,,,,,,5.0,,62.0,8.0,,,,,1.25,19.166666666666668
1922,,,12.0,,,,,,,,,,,,,,,,21.0,,,,5.0,,,,2.0,,,,,0.72,10.0
1923,,,,,,0.48,12.0,20.0,20.0,,,,,,23.0,0.17,,,,,31.0,,,,,,,,,,,158,15.235714285714286
1924,,,,,,,,3.0,,,,,,,,,,,,,,,,,8.0,13.0,97.0,19.0,10.0,33.0,18.0,707,25.125
1925,,,,,,,0.01,,,6.0,,,,,,,,,,,,,,,,,,25.0,,,,80,10.336666666666666
1926,,36.0,,,,20.0,,,,0.13,0.05,25.0,0.3,,,67.0,,,,,,,,0.02,,89.0,,,,,,2.87,26.38888888888889
192;,,49.0,0.82,,,,,,6.0,0.051,,,,,,,,,,,,,,75.0,,,0.059,,,21.0,,220,21.704285714285714
1928,,4.0,,21.0,,34.0,0.06,,17.0,,,,,,,,,,,,,,,,,,,,,,,136,15.212
1929,,,,,6.0,,,,17.0,,,,,,,,0.06,,,,,,,,,,73.0,,,,,97,24.015
1930,,,,,,4.0,32.0,,,,,,,29.0,,,,,,,,,,3.0,26.0,,,,,,,"1,05",18.8
1931,,,,,4.0,,,,,,,,,,,,4.0,,,,,24.0,10.0,19.0,,,15.0,30.0,,,,1.38,15.142857142857142
"8-11
32",,,,,,,,,,,90.0,0.32,74.0,12.0,,0.02,,,,,0.16,2.0,,,,,,2.0,37.0,0.08,52.0,2.48,24.50727272727273
