file,row,col,value
collected_csvs\january\january_precipitation_1.csv,16,2,"Trace
12"
collected_csvs\january\january_precipitation_1.csv,15,3,98'
collected_csvs\january\january_precipitation_1.csv,15,4,0:2:5
collected_csvs\january\january_precipitation_1.csv,15,5,"2.00
357-"
collected_csvs\january\january_precipitation_1.csv,6,6,"2,"
collected_csvs\january\january_precipitation_1.csv,15,6,"3.00
3"
collected_csvs\january\january_precipitation_1.csv,9,8,1/4
collected_csvs\january\january_precipitation_1.csv,13,8,trace
collected_csvs\january\january_precipitation_1.csv,18,8,1.5°
collected_csvs\january\january_precipitation_1.csv,2,9,ST.
collected_csvs\january\january_precipitation_1.csv,10,9,tra
collected_csvs\january\january_precipitation_1.csv,3,10,09°
collected_csvs\january\january_precipitation_1.csv,3,11,90'
collected_csvs\january\january_precipitation_1.csv,8,13,1.5%
collected_csvs\january\january_precipitation_1.csv,12,13,I'
collected_csvs\january\january_precipitation_1.csv,15,14,98'0
collected_csvs\january\january_precipitation_1.csv,16,14,"Trace
ace"
collected_csvs\january\january_precipitation_1.csv,16,16,Trace
collected_csvs\january\january_precipitation_1.csv,18,16,1.5°
collected_csvs\january\january_precipitation_1.csv,2,17,"75
.06"
collected_csvs\january\january_precipitation_1.csv,14,17,"1,3"
collected_csvs\january\january_precipitation_1.csv,2,18,Trac
collected_csvs\january\january_precipitation_1.csv,12,18,trao
collected_csvs\january\january_precipitation_1.csv,16,18,".50
10"
collected_csvs\january\january_precipitation_1.csv,20,18,Tr
collected_csvs\january\january_precipitation_1.csv,10,19,tra
collected_csvs\january\january_precipitation_1.csv,3,20,'?
collected_csvs\january\january_precipitation_1.csv,15,20,"0,50"
collected_csvs\january\january_precipitation_1.csv,18,20,4.D
collected_csvs\january\january_precipitation_1.csv,2,21,"8.
31"
collected_csvs\january\january_precipitation_1.csv,15,21,"0.25
0.05."
collected_csvs\january\january_precipitation_1.csv,16,21,"Trace
16"
collected_csvs\january\january_precipitation_1.csv,6,22,"3,"
collected_csvs\january\january_precipitation_1.csv,17,22,/7
collected_csvs\january\january_precipitation_1.csv,9,23,10'
collected_csvs\january\january_precipitation_1.csv,12,24,a
collected_csvs\january\january_precipitation_1.csv,2,25,"4
3/"
collected_csvs\january\january_precipitation_1.csv,14,25,tr
collected_csvs\january\january_precipitation_1.csv,19,26,"5.0
28-"
collected_csvs\january\january_precipitation_1.csv,10,30,.4.
collected_csvs\january\january_precipitation_1.csv,11,30,a
collected_csvs\january\january_precipitation_1.csv,15,30,"1.00
0.70-"
collected_csvs\january\january_precipitation_1.csv,16,30,"4.00
40"
collected_csvs\january\january_precipitation_1.csv,11,31,9'
collected_csvs\january\january_precipitation_1.csv,15,31,"0,25
0.30-"
collected_csvs\january\january_precipitation_1.csv,16,31,".75
.08"
collected_csvs\january\january_precipitation_1.csv,17,32,to.
collected_csvs\january\january_precipitation_2.csv,11,3,".5+
41-"
collected_csvs\january\january_precipitation_2.csv,14,5,"5
8"
collected_csvs\january\january_precipitation_2.csv,14,6,".5
33"
collected_csvs\january\january_precipitation_2.csv,10,7,"5,0"
collected_csvs\january\january_precipitation_2.csv,14,7,=
collected_csvs\january\january_precipitation_2.csv,9,8,2m
collected_csvs\january\january_precipitation_2.csv,10,8,"1,0"
collected_csvs\january\january_precipitation_2.csv,18,9,9.0°
collected_csvs\january\january_precipitation_2.csv,4,10,Z
collected_csvs\january\january_precipitation_2.csv,10,10,",2"
collected_csvs\january\january_precipitation_2.csv,3,15,"27
.09"
collected_csvs\january\january_precipitation_2.csv,2,18,ho
