1913,,,.05,,,,,,,,.12,,.05,,,,,,,,,,,,.04,,,,,,,.26
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.00
1916,,,,,,,,.27,.18,,,,.22,,,.04,.46,.07,,,,,,,,,,,,,,1.24
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0
1918,.11,,,,,,,.13,.05,,,,,,,,,.20,.15,,.04,,,,,,,,,,,.68
1919,,,.12,,,,,,,,,,,,,,,,,,,,,,,,,,,.2,,.14
1920,,,,,,.16,,.08,,,,,,,,,,,,,,,,,.06,,.23,.32,.07,,,.92
1921,,,,,,,,,,,,,,.05,,.08,,,,.02,,,,,,,,,,,,.15
1922,,,,.10,,,,,,,.36,.58,,.30,,,,.12,,,,,,,,,,,.04,.08,,1.49
1923,,,,,,,,,.05,,,,,,,,,,,.15,,,,,,,,,,,,.20
1924,,,,,,,,,,,,,,,.039,.33,,.013,.17,,,,,,,,,,,,,.552
1925,.09,,,,,,,,,,,.01,.01,.06,,,,,,,,.34,.10,,,,,,,,,.15
1926,,,,,,,,,,,,,,,,,.03,.42,,,,,,,,.10,,,,1.56,.21,2.32
1927,.62,.07,,,,,,,,,.08,,,,,,,,,,,.23,,,,,,.27,.32,,.33,1.12
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,.08,,,,,.08
1929,.01,,,,,,,,,,,,,,,,,,,,,,,,.08,,,,,.10,,.19
1930,,,,,,,,,,,,,,,,,,.04,,,,,,,,,,,,,,.04
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.00
1932,,,,,,,,,,,,,,,,,,,,,.15,,,,,,,,,,,.15
