1913,20,24,17,23,25,22,25,30,27,28,33,33,35,31,28,26,32,18,19,16,,15,22,17,23,25,22,29,18,25,29,24.9
1911,15,29,26,23,28,25,25,28,25,15,13,25,14,28,25,26,26,55,5,9,28,18,39,38,25,25,22,39,22,22,32,18.7
1915,28,32,37,33,33,38,37,43,30,26,2,27,3,28,28,28,8,17,25,31,36,36,2,25,26,14,20,11,9,1,9,26.2
1916,32,34,33,33,25,19,17,19,21,15,17,31,12,21,20,27,15,3,24,21,25,25,21,18,8,2,7,6,6,10,15,19.4
1917,35,34,34,34,27,19,15,30,32,2,34,28,44,45,22,45,3,51,38,32,33,40,33,21,20,30,44,8,51,50,45,35.8
1915,32,39,38,41,38,36,30,39,3,22,30,27,33,33,36,28,26,22,28,30,28,10,17,18,19,18,17,27,23,12,-1,26.4
1919,19,3,1,2,-4,1,8,2,-8,3,0,-16,-16,7,11,20,29,30,33,34,37,36,37,39,33,33,33,34,32,30,13,16.6
1920,39,37,36,33,23,27,27,25,24,33,32,31,26,21,21,28,26,31,30,27,25,21,22,36,18,12,27,35,35,36,28,27.7
1921,40,35,29,31,34,35,36,29,33,41,43,52,36,31,17,21,5,15,4,3,10,2,10,12,19,2,22,30,31,23,20,25.6
1922,24,27,29,26,26,19,13,8,30,11,-5,-12,-9,-6.5,5,-6,-10,7,33,33,32,33,3,39,38,38,39,32,30,30,32,23.1
1923,17,28,32,35,32,32,28,26,23,28,28,23,22,33,37,35,35,33,31,25,23,25,31,28,29,26,27,32,24,10,-2,27
1924,33,33,32,34,33,27,27,8,19,34,44,41,52,39,3,-2,-13,16,-11,0,8,-10,-9,14,4,2,17,19,22,31,32,17.4
1975,37,31,29,35,35,34,33,30,2,34,3,3.,28,32,32,33,35,30,28,31,32,34,39,35,27,26,25,27,26,24,24,31.1
1926,42,41,34,31,30,29,30,28,29,32,28,14,1,-2,8,20,27,25,12,28,28,2,12,19,23,24,22,27,33,34,36,25.1
1927,37,35,31,31,25,15,15,25,12,2,5,28,10,7,5,9,10,18,25,10,6,5,18,24,22,25,29,26,-10,-16,-10,15.6
1928,24,28,30,30,30,30,32,32,33,16,2,15,22,22,31,37,37,32,31,30,28,28,25,24,21,21,17,15,26,15,25,25.8
1979,24,25,20,18,28,25,30,33,36,35,32,31,32,42,35,32,30,30,28,2,26,28,36,37,33,32,32,32,35,32,39,30.8
1930,19,33,32,31,31,22,21,23,19,25,30,30,32,27,27,8,28,25,26,24,18,22,21,20,20,2,26,9,12,6,6,22.4
1931,9,21,31,26,30,26,32,30,26,23,23,18,13,13,14,20,25,33,34,33,31,28,2,33,22,26,33,20,23,17,20,24.9
1932,39,38,35,37,30,25,7,-4,-8,-8,-5,-2,2,6,10,14,20,11,25,34,33,23,25,30,30,31,31,27,28,21,23,19.6
