1913,58,50,55,51,61,66,55,54,63,61,50,51,50,43,50,53,52,53,60,66,71,65,72,64,68,59,,,55,,57,57.4
1914,53,57,60,58,53,53,63,58,60,60,63,64,61,53,60,50,54,60,65,60,,,50,54,61,55,59,58,55,59,67,58
1915,55,59,63,58,45,57,53,55,54,50,48,55,49,42,47,56,50,47,53,53,66,67,54,54,58,53,53,54,51,50,53,53.6
1915,50,51,45,41,52,49,55,65,60,50,52,62,55,52,56,57,50,48,48,56,57,53,50,55,52,42,52,47,49,54,61,52.5
1917,49,55,55,57,54,54,56,57,64,54,56,63,62,55,59,59,65,62,66,68,62,59,64,48,54,60,58,53,39,47,49,56.9
1918,54,61,58,46,57,55,52,66,55,44,49,54,51,69,67,65,63,73,59,55,52,55,57,50,48,53,49,51,57,62,67,56.3
1919,52,47,46,55,45,48,48,50,55,68,63,53,50,52,58,64,53,43,44,53,56,58,62,61,58,46,44,50,56,56,56,53
1920,50,55,56,58,54,56,37,55,59,60,50,48,48,51,60,60,63,65,60,55,53,52,52,57,44,49,50,60,67,50,48,54.9
1921,50,41,46,56,52,54,56,62,48,43,50,47,49,52,55,47,43,47,57,59,47,49,54,46,53,50,58,52,57,55,55,50.8
1922,57,59,62,70,62,60,65,50,57,57,50,58,57,60,55,49,54,55,64,63,52,59,50,51,57,53,54,50,54,53,64,56.8
1923,54,61,51,47,53,51,48,49,48,50,57,55,56,55,60,8_9,50,53,56,55,57,62,67,66,55,50,58,55,65,65,49,55.3
1924,67,66,68,62,65,46,41,47,57,61,46,49,57,60,50,43,48,48,50,48,56,53,46,52,56,66,59,60,51,51,57,53.6
1925,54,,,57,57,51,53,48,55,58,62,66,57,56,59,64,70,59,49,50,54,60,56,59,52,56,40,65,63,59,70,57.9
1926,62,54,57,60,66,68,61,54,60,66,67,69,67,65,61,55,57,53,50,51,51,55,51,56,56,58,53,45,50,54,48,57.4
1927,46,54,49,50,51,55,56,54,47,51,54,49,55,49,56,58,56,52,55,54,56,62,63,67,64,61,56,56,57,60,60,55.3
1928,50,53,53,52,49,50,51,54,58,55,58,62,62,57,52,58,58,53,52,52,55,60,63,68,68,71,77,66,68,63,57,58.3
1929,53,58,48,55,58,56,50,53,54,,,49,54,56,58,49,53,64,56,51,45,48,55,55,53,55,44,47,57,61,62,53.7
1930,56,49,57,52,54,58,44,55,65,56,59,67,60,59,59,52,47,54,52,55,53,55,57,64,58,53,43,52,61,59,58,55.6
1931,43,45,52,43,61,45,69,53,52,66,54,52,56,54,47,48,54,60,50,61,62,53,56,54,52,63,59,49,65,58,52,54.6
1932,56,60,56,45,46,46,50,57,51,56,47,46,55,53,54,57,57,54,50,47,57,60,61,61,59,49,53,62,50,51,50,53.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
