1893,,,,,,,,,,,.07,,,,,.06,,,,,,,,,,,,,,,,.13
1894,.24,,,,,,.05,,.05,,,,,,,,,,.48,,,,,.01,,,,.03,.04,,,.90
1895,,,,,,,,,,.04,,,,,,.15,,,,,,,,,,,,,,,,.19
1896,.050,,,.06,.60,.07,,.24,,,,,,,,,,,,,,,,,,,,,.04,,,1.06
1897,,,,,,,,,,,.03,,,,.55,.05,1.00,.20,.23,,.06,,.10,,.060,,0.60,,,,,2.34
1898,.03,,,,,,,,,,.050,,.50,.13,,.40,.050,.14,,,,,,,,,,,,.24,,2.44
1899,40.,.20,,,.34,,,,,,.11,.11,.02,,,,,,,,,,,,.07,.80,,,,,,1.53
1900,,,,,,,,,,,,,,,,.16,,,,,,,,,.32,,,,,,,.48
1901,.30,.15,.17,.04,,,,,.10,.03,,.27,.12,,,,,,,.02,,,,,,.12,.02,,,,,1.34
1902,,.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.045
1903,,,,,,,,,,,,.38,.01,,,.13,,,,.01,,.50,,,20.,.01,.02,.20,,,,1.46
1904,.53,1.35,.08,,,.67,,,,.10,,,,,,,,,,,,,,,,,,,,,,2.73
1905,,,.77,,,,,,,.66,,,,,,,,,,,,.24,.97,.06,.10,.42,.24,,,,,3.46
1906,,,,.15,,,,,,,,,,,.10,.15,,,,,.16,,,,,,.26,,,,,.82
1907,,,,.17,,,,,.12,.55,.28,,,,,,,,,,,,.48,,,,,.50,,,,4.65
1908,,,.40,.12,,,,,,.30,,,,,,,,,,,,,,,,.15,,,,,,.97
1909,,,,,,,,.35,.05,,,,,,,,,,.04,,,,,,,,.18,,,,,.62
1910,,,,,,,,,,,,,,.25,,,,,,,,,,,,,,,,,,.25
1911,,,,,,,,71.,,,,,,,,,,,,.11,.5,,.27,.14,,,.38,,,,,.91
1912,,,,,,,,,,,,.47,,.11,,,,,,,,,,,,,.14,.19,.09,.09,,1.09
