1933,,.06,,.04,,,.04,,,,,,,,.24,.10,.01,.40,,,,,,,,.05,,,,,,.85
1934,.20,.04,,,,.09,,.70,.03,.01,.08,,,,,,,,,,,,,,,,,.32,.02,,,1.49
1935,,,,,,,,,,,,,,.08,.25,,,,,,,,,,,,,,,,,.33
1936,.10,.27,,.32,.18,,,,,,,,,.21,.08,,,,,,,,,,,,,,,,.01,1.17
1937,,,,,,,,,,.06,.30,,.10,,,,,,,,,.02,,,.070,,,.01,,.05,,1.24
1938,,,,,.03,,,,,,.24,,,,,,,.34,,,,,,,,,.02,.17,,,,.18
1939,,,,,,,,,,,,,,,,.17,.03,,.34,,.03,.07,,,,.09,,,.03,,,.24
1940,.08,,.08,.03,.05,,,,,,,,,,.03,,,,,,,,,,.05,,,,,.08,.10,.46
1941,.31,.01,.11,.10,.41,.02,.02,.91,,,,.09,.28,.05,,.04,.86,.19,.02,,,,,,,.17,.31,.03,.16,.40,.16,3.90
1942,0.05,,,0.08,0.02,,,,0.05,0.30,,0.14,0.02,0.02,0.13,,,,,,,0.02,0.16,,,08.0,0.06,,,0.01,0.07,1.93
1943,0.14,0.01,,0.03,,0.24,,,,,0.28,0.02,0.17,0.03,,0.05,0.06,,,0.10,,0.01,,,,,,,,0.23,0.09,1.46
1944,,,,,,,,,0.03,0.17,0.02,,,,0.01,,,,,,,,6.05,0.03,,,,0.08,,0.04,0.01,.80
1945,,,,.01,,,,,,,,,.41,.11,.20,.01,.18,,,.05,.22,,,.06,.14,,.28,,,,.03,1.70
1946,,,,,,,,,,,,,,,,,,,,,,,,,.14,,.72,.07,,,,.93
1947,,,,,,,,.02,.10,,,,,,,,,,,,,,,,,,,,,,.05,.17
1948,.01,,.03,.40,.02,.11,.15,.58,1.11,.02,,,.31,,,,.63,,.28,.51,,.56,.33,,,,.07,,.83,.08,,5.43
1949,.04,.56,,,,,,,,,,,,,,,.10,.02,,,.03,,,,,,,.07,,.18,.01,1.01
1950,.15,7.9,,.11,.15,,,,,,.23,,,,,,,,.25,,,,,,,,,,,,,1.10
1951,,,,,.13,,.16,.09,,,,.17,,.08,,,,,,,,,,.06,,,,,,,,.69
1952,19.,.03,,,,,.01,.01,.20,,,,.06,.08,,.01,,,,.08,.03,,,,,,,,,,,1.28
