1893,34,34,40,55,53,49,52,50,42,41,38,43,46,45,35,36,33,34,39,38,33,31,35,42,39,48,41,36,36,35,,40.7
1894,50,53,45,48,55,54,55,61,61,53,57,58,54,54,35,35,50,55,50,40,40,35,39,49,54,45,46,45,43,43,,48.7
1895,51,41,41,35,35,36,36,45,46,44,35,41,39,50,53,51,53,55,55,58,36,32,34,34,36,39,45,15,45,39,,42.8
1896,46,43,45,45,38,43,42,35,41,41,37,42,50,57,60,38,29,32,30,25,39,36,35,22,16,12,13,10,18,24,,35.3
1891,64,46,45,46,46,44,38,40,52,42,59,56,36,35,34,39,46,62,42,34,36,40,46,32,32,34,28,27,36,39,,42.2
1898,51,47,53,51,48,46,37,33,32,32,45,35,37,40,40,34,47,47,47,32,29,32,35,32,31,33,40,38,38,39,,39.4
1899,55,60,58,52,52,37,60,51,58,52,55,30,52,58,52,48,45,45,48,46,48,51,45,51,45,44,51,50,46,39,,50.6
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,46,44,46,56,60,49,47,46,46,44,41,56,57,55,56,53,51,46,47,48,45,49,52,45,47,46,51,52,52,51,,49.5
1902,49,,,39,45,40,45,47,50,51,56,44,43,41,46,43,43,38,23,33,,30,31,36,36,36,,33,33,42,,40.7
1903,67,64,64,59,49,53,46,38,36,32,43.,36,38,38,38,32,32,30,40,44,47,42,,42,,48,49,49,45,52,,44.8
1904,59,55,59,59,57,69,,53,,63,,,,,,71,54,45,,53,54,51,44,46,45,53,55,45,47,47,,54.1
1905,51,56,50,47,50,50,60,58,62,61,56,58,53,55,59,53,50,48,45,39,43,37,31,39,45,46,32,23,31,30,,47.2
1906,49,49,54,50,47,48,48,45,56,54,51,54,52,55,65,42,41,37,34,33,35,33,28,23,27,24,32,25,30,34,,41
1907,52,59,50,58,52,56,56,56,55,56,54,54,51,42,49,45,43,42,47,42,43,42,59,47,47,50,39,42,53,49,,49.7
1908,63,62,73,39,63,64,59,48,46,45,41,45,,49,53,56,60,63,52,46,45,47,44,41,39,38,38,38,39,34,,50.6
1909,47,66,55,54,54,47,45,53,51,45,43,39,35,27,30,33,28,45,50,40,42,41,55,52,44,40,37,42,40,,,43.8
1910,51,58,58,58,45,51,51,,52,52,52,44,41,41,36,36,,,43,48,48,44,,,46,,,35,39,45,,46.2
1911,52,53,52,50,45,47,50,50,32,21,16,23,40,47,45,42,45,50,51,56,53,42,39,45,42,47,34,35,38,42,,42.7
1912,46,43,43,41,,47,44,44,,46,38,43,49,39,39,40,45,47,45,39,48,43,40,41,31,29,34,32,35,31,,41.8
