1933,38,44,47,49,47,51,45,47,42,40,40,47,47,47,34,42,45,45,48,34,30,33,38,48,53,41,45,47,43,43,35,42.5
1934,47,51,44,37,41,50,52,51,52,58,55,53,37,54,46,32,35,39,33,38.,42,37,36,35,39,47,44,47,38,42,44,42.90
1935,50,53,52,47,43,41,41,43,38,39,48,44,45,45,39,37,40,41,42,34,30,31,27,33,34,37,39,38,27,13,4,38.3
1936,45,46,46,57,42,39,49,46,46,50,45,53,44,49,34,38,41,46,46,38,28,30,35,28,26,36,32,36,39,28,39,41.3
1937,45,44,41,38,39,38,39,40,44,46,44,46,48,45,46,47,40,38,36,48,46,51,50,48,43,47,53,50,48,43,41,44.3
1938,37,56,52,44,44,44,37,38,43,46,45,45,41,36,37,40,31,35,41,44,42,43,43,43,46,42,43,45,45,40,37,42.4
1939,44,43,43,42,43,36,33,32,36,44,41,44,44,47,48,43,45,46,43,43,45,43,43,37,31,31,29,35,32,38,37,40.00
1940,46,45,41,42,44,45,47,45,43,46,54,47,48,46,44,47,51,52,50,56,48,41,45,47,39,39,38,31,38,39,40,44.7
1941,46,35,39,41,37,35,41,39,37,41,40,45,36,38,44,43,41,48,47,48,41,43,38,41,41,40,42,42,37,31,35,40.4
1942,49,41,47,45,48,54,46,45,49,51,43,39,39,42,41,37,40,44,43,43,43,45,32,29,31,42,37,29,29,34,32,40.9
1943,55,59,56,57,52,51,51,53,46,52,45,38,45,31,45,37,42,32,32,30,34,34,32,39,43,39,40,40,38,32,32,42.0
1944,38,41,45,51,42,38,41,44,45,46,50,45,42,44,40,41,42,46,48,49,46,46,46,45,46,48,51,50,47,51,46,45.3
1945,47,51,45,41,44,45,49,49,42,50,49,48,46,50,53,48,45,29,35,33,30,35,34,38,43,46,41,33,43,43,39,42.6
1946,49,42,44,37,37,33,36,33,39,27,32,41,36,40,31,26,28,27,32,38,41,43,38,40,48,32,30,26,29,32,31,35.4
1947,52,52,52,51,45,41,43,43,45,45,41,40,45,49,49,48,42,44,48,42,37,34,38,35,33,42,45,42,37,40,41,43.5
1948,39,41,53,49,38,33,35,37,38,40,43,41,42,45,39,27,32,38,35,36,40,45,50,50,35,40,27,27,27,26,30,38.0
1949,44,43,38,46,40,40,35,33,33,38,42,40,32,35,40,32,25,28,24,24,28,36,41,39,42,41,44,48,38,35,38,36.8
1950,28,34,38,41,41,42,40,48,32,42,50,49,50,49,41,41,40,44,47,25,38,34,38,39,45,36,40,42,43,40,33,41.3
1951,53,50,48,41,44,44,45,51,51,57,49,46,44,46,35,37,31,33,39,40,33,36,37,34,31,32,30,34,39,26,22,39.9
1952,46,50,49,42,41,45,50,48,43,40,45,49,44,37,38,40,43,46,43,43,50,46,44,45,34,33,41,43,36,43,38,43.145
,43.5,43.0,41.8,41.8,42.9,41.5,39.9,41.0,39.4,38.5,40,39.7,39.9,41.1,40.4,40.3,39.6,36.7,36.8,37.4,33,37.3,36.3,37.8,38.6,38.4,32.6,35.7,35.6,37,34.3,
