1913,70,89,72,83,70,75,88,08,64,76,82,92,75,68,74,80,89,72,,85,"P
63",62,68,89,,75,77,80,,64,,75.4
,T&,90,80,68,69,,55,55,64,75,55,53,55,48,49,51,13,1,62,58,48,49,5,12,73,,58,OL,18,69,,"64.1
43"
1915,73,76,83,87,85,J,99,68,62,73,29,48,56,,69,74,81,84,76,79,76,,62,"69
2",75,63,60,68,72,75,,70.2
1916,82,76,59,,,74,83,29,59,,72,74,20,,,79,76,82,77,83,85,68,,59,2,64,62,65,76,,,70.2
1917,80,77,83,79,8,76,24,69,85,84,,28,,67,,84,86,89,95,86,83,G,,,19,67,65,,76,23,,
1918,82,76,76,,85,88,,82,,82,85,79,,72,80,83,,85,89,88,80,59,54,,,,,90,74,71,,"78.6
794"
1919,,82,89,22,64,2,70,62,71,,99,,75,75,83,85,76,91,71,65,74,74,81,78,,70,58,32,65,"64
54",,71.2
1920,89,86,88,88,77,12,80,80,67,25,72,53,58,58,74,83,85,66,77,19,58,57,30,5),52,58,69,73,80,83,,"69.
69.8"
Tebl,70,60,62,,75,22,20,,60,65,,41,56,62,62,,8,,,60,58,,60,6,,64,22,,63,6./,,"Y
60,0"
2.167,,94,86,69,59,64,"152
57",65,73,"D
23",86,85,38,28,25,81,80,,22,,68,65,82,,,81,,,60,76,,74.7
1923,,,81,68,77,,85,85,82,89,81,83,89,79,70,68,,74,73,74,,157,64,62,59,52,64,68,71,78,,58.4
1924,76,08,82,88,72,79,8,57,55,58,65,5,,85,79,77,"53
r",49,39,49,56,70,49,,40,8,58,69,,,,652
"1975
25",76,98,84,74,"✓
23","J
28",20,2.,68,69,,78,28,26,,"6
29",71,99,57,64,70,"L
77",82,81,78,,,54,,So,,"70.4
706"
1926,67,67,74,76,77,72,65,69,74,63,69,19,69,,54,56,52,57,67,58,56,50,40,,53,58,,60,54,57,,61.4
1927,63°,74,70,6,73,54,45,57,19,54,56,44,46,59,,66,69,72,,,74,69,62,62,68,72,62,56,52,54,,62.4
1928,8.,91,88,83,82.,,"77
21",54,,72,22,55,9,23,,22,78,,51,,,84,85,35,,23,J,32,23,62,,"728
72.7"
1929,70,,99,"65
6.",65,99,69,73,70,74,78,18,84,80,74,84,85,72,72,59,50,,8,50,49,50,52,57,19,67,,"66.
66.0"
1930,78,83,87,85,83,22,20,28,68,,63,85,65,62,22,22,28,29,22,"25
3",25,22,his,55,60,20,23,53,5-4,,,69
1931,26,8.,86,84,,72,,89,65,,,,65,20,66,70,"20
L",57,,,"54
59",,64,,74,28,,,62,21,,6882
"1932
8-311","65
66","67
65",29,"82
79","89v
82","85
8","88.
85","88
199","752
66",75,"-68
98","74
68","78
74","82
98","OR
81",18,"69 L
84","52.
69",52,"61
51","66
61","-73
66","77
73","67
77","19
29","70
66","772
70","82
77","822
82","81
82",,
