1893,,,,,,,.01,.37,.03,,,,,,,,,,.12,,.25,,,,,,,,.40,.01,,2.32
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,.25,.05,,,.11,,,,,,,,,.02,,,,,,,,.43
1897,,,,.30,.66,,.06,.27,,.03,,,,,,,,,,,,,,,,,.08,.46,,,,1.86
1898,,,,,,,,,,,,,,,,,,,,,,.57,,,,,.25,,.25,.08,,1.15
1899,,,.55,.57,,,,,,,,,.34,,,,,,,,,,,,,,,,,.05,,1.51
1900,,,,.12,,,,,,,,,,,,.43,,,,,,,,1.10,,,,,,,,1.65
1901,,.07,,,,,.51,.43,,,,.30,,,,,,,,,.18,,,,,,,,,,,1.49
1902,,,,,,,,,,,,,,,,.20,,,,,,,,,,,,.33,.70,,,1.23
1903,,,,,,.20,,,,1.18,.04,.33,,.18,,,,,,,troc,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,.10,.10,,,,,,,,,,.20
1905,,,,,,,,,,,,.01,1.22,.10,,.01,.08,,,,,,,.02,.05,.54,.95,.23,,.22,,3.34
1906,,,,,,,,,.05,,,.17,,.04,.20,,,,,,,,.10,,,.02,,,,,,.49
1907,.28,.47,,,.07,.03,,,,,,.50,.10,,,.24,.02,,,,,,,,,.02,,,,,,1.73
1908,,,,,,,,,,,,,,,.46,.20,.03,.21,,,,,,,,,,,,,,.70
1909,,.17,,,,,,,,,.10,,,,,,,,,.28,,,,,,,,,.30,,,.85
1910,.90,,,.16,,,,,,,,,,,,.09,.12,.26,,,.07,,,,,,,,,,,.76
1911,,,,,,.50,.16,,,,,,,,.14,.10,,,,,,,,,,.02,,,,,,.92
1912,,.21,.03,,,.56,.04,,,,,,,,,.16,,,,,,,,,,,,,,,,.97
