1893,20.0,22.0,30.0,39.0,40.0,12.0,42.0,,32.0,25.0,2.0,32.0,30.0,,28.0,26.0,19.0,20.0,26.0,33.0,27.0,20.0,23.0,30.0,33.0,33.0,32.0,3.0,29.0,24.0,,300.0,26.142857142857142,35.58620689655172,35.27142857142857
894,40.0,44.0,34.0,31.0,34.0,44.0,,43.0,41.0,43.0,36.0,34.0,33.0,31.0,22.0,20.0,33.0,32.0,40.0,33.0,32.0,22.0,33.0,33.0,36.0,40.0,37.0,36.0,43.0,33.0,,,34.7037037037037,34.93103448275862,34.92345679012346
1895,46.0,36.0,25.0,21.0,19.0,25.0,30.0,32.0,36.0,39.0,,27.0,25.0,32.0,40.0,37.0,38.0,49.0,35.0,38.0,32.0,14.0,12.0,14.0,18.0,23.0,34.0,34.0,34.0,30.0,,29.9,30.0,30.17241379310345,30.15806451612903
1896,32.0,33.0,32.0,33.0,28.0,30.0,28.0,37.0,31.0,32.0,28.0,32.0,40.0,46.0,53.0,33.0,23.0,20.0,21.0,18.0,26.0,30.0,30.0,20.0,,-2.0,12.0,8.0,,,,4.4,27.57692307692308,27.085714285714285,27.102652519893898
897,36.0,,39.0,30.0,34.0,34.0,28.0,25.0,32.0,38.0,37.0,48.0,32.0,30.0,27.0,29.0,36.0,43.0,40.0,28.0,25.0,31.0,42.0,23.0,26.0,30.0,25.0,3.0,19.0,24.0,,32.1,31.821428571428573,30.82758620689655,30.90069124423963
,33.0,29.0,38.0,37.0,31.0,36.0,36.0,27.0,23.0,26.0,21.0,22.0,25.0,19.0,23.0,,25.0,29.0,22.0,25.0,23.0,28.0,8.0,25.0,,22.0,22.0,28.0,30.0,30.0,,273.0,26.59259259259259,35.03448275862069,34.75308641975309
899,38.0,39.0,39.0,38.0,34.0,36.0,,41.0,42.0,43.0,,40.0,38.0,,43.0,38.0,32.0,38.0,41.0,36.0,42.0,32.0,33.0,39.0,34.0,37.0,40.0,,36.0,32.0,,38.1,37.73076923076923,37.74444444444445,37.74395604395604
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19
1901",,28.0,39.0,35.0,39.0,31.0,38.0,28.0,35.0,30.0,26.0,36.0,50.0,35.0,32.0,39.0,42.0,33.0,36.0,28.0,33.0,32.0,2.9,32.0,32.0,33.0,41.0,,42.0,36.0,,351.0,33.10740740740741,44.65172413793104,44.266913580246914
1902,32.0,,,29.0,26.0,29.0,37.0,,35.0,45.0,,31.0,34.0,33.0,33.0,37.0,35.0,30.0,12.0,22.0,,15.0,26.0,26.0,22.0,22.0,,25.0,26.0,30.0,,29.8,28.83333333333333,28.83333333333333,28.870512820512822
03,43.0,47.0,38.0,45.0,32.0,42.0,31.0,27.0,30.0,29.0,30.0,29.0,26.0,32.0,30.0,18.0,19.0,22.0,27.0,32.0,35.0,,,32.0,,38.0,37.0,36.0,,,,32.1,32.041666666666664,32.27307692307692,32.2645061728395
1904,45.0,44.0,36.0,,32.0,43.0,,36.0,,40.0,,,,,,33.0,49.0,35.0,,26.0,4.4,42.0,38.0,36.0,36.0,42.0,,39.0,35.0,37.0,,380.0,36.42,52.78095238095239,52.037272727272736
1905,30.0,31.0,42.0,32.0,26.0,30.0,32.0,34.0,34.0,35.0,98.0,38.0,38.0,33.0,36.0,35.0,38.0,35.0,36.0,30.0,21.0,25.0,26.0,25.0,28.0,32.0,19.0,76.0,22.0,30.0,,30.2,34.96153846153846,34.9,34.75504807692308
906,25.0,34.0,39.0,42.0,36.0,35.0,41.0,36.0,38.0,42.0,38.0,44.0,44.0,47.0,32.0,35.0,28.0,21.0,20.0,28.0,30.0,25.0,22.0,19.0,22.0,10.0,14.0,8.0,21.0,23.0,,30.0,29.77777777777778,29.966666666666665,29.961805555555557
1907,36.0,37.0,27.0,38.0,37.0,34.0,37.0,34.0,31.0,27.0,30.0,30.0,32.0,35.0,36.0,35.0,27.0,2.0,34.0,34.0,31.0,39.0,37.0,33.0,40.0,33.0,30.0,82.0,,37.0,,33.5,34.310344827586206,34.310344827586206,34.28420467185762
908,44.0,45.0,44.0,43.0,2.0,39.0,38.0,29.0,26.0,28.0,24.0,29.0,30.0,,28.0,88.0,45.0,47.0,40.0,48.0,36.0,40.0,33.0,32.0,30.0,28.0,29.0,30.0,26.0,,,34.6,35.75,35.75,35.711666666666666
1909,32.0,,38.0,40.0,,36.0,33.0,39.0,39.0,35.0,34.0,32.0,80.0,97.0,13.0,18.0,,30.0,,26.0,29.0,33.0,,,,28.0,26.0,30.0,31.0,,,29.9,36.31818181818182,36.31818181818182,36.05075757575758
191,41.0,40.0,25.0,32.0,34.0,44.0,43.0,,,40.0,31.0,,29.0,25.0,25.0,25.0,30.0,,,28.0,32.0,31.0,,,26.0,,,3.0,30.0,36.0,,32.2,30.11764705882353,30.952380952380956,30.970332480818417
,24.0,25.0,31.0,35.0,31.0,32.0,33.0,31.0,25.0,17.0,,6.0,27.0,37.0,32.0,31.0,32.0,39.0,34.0,32.0,33.0,26.0,31.0,31.0,33.0,38.0,22.0,22.0,29.0,34.0,,285.0,29.954545454545453,37.93333333333333,37.67595307917889
1912,32.0,35.0,31.0,31.0,36.0,,45.0,40.0,,34.0,33.0,37.0,42.0,37.0,35.0,34.0,37.0,37.0,37.0,32.0,38.0,37.0,34.0,34.0,29.0,21.0,21.0,21.0,27.0,30.0,,33.3,33.464285714285715,33.464285714285715,33.45880952380952
