1893,6.0,,,15.0,,43.0,,,,,,13.0,5.0,,,,,,42.0,47.0,6.0,0.04,22.0,0.07,,28.0,,,,,,"3,13",18.925833333333333
1894,,2.0,,,,,,5.0,,0.08,,,17.0,,,,,,,,,,26.0,,,,5.0,12.0,,0.01,,1.23,8.38625
1895,5.0,,17.0,,,,,,,,,,5.0,,,22.0,,,,,,,,,,,,34.0,,,,83,16.6
1896,,,,,,24.0,3.0,,12.0,12.0,,30.0,3.0,,8.0,,,,,,,6.0,,3.0,40.0,,12.0,31.0,,,,1.89,15.333333333333334
1897,,22.0,12.0,16.0,,26.0,,,,10.0,,,,,,,,,30.0,,,,,,,,,,,,,1.22,19.333333333333332
1898,,24.0,,,,9.0,,,,8.0,,,,,2.0,,,,,27.0,19.0,13.0,,,,,,,,,,1.02,14.571428571428571
1899,12.0,,5.0,,,,,,,,37.0,60.0,,,,,,40.0,,,,,,,,32.0,0.03,,,40.0,,255,28.25375
1900,,,32.0,6.0,,,48.0,,,,,,,21.0,,,,,,,,,,,,21.0,,,,,,"4
2.95",25.6
1901,12.0,9.0,,3.0,13.0,16.0,,,,,,,,,,,,,,17.0,6.0,,,,,,,,,,,87,10.857142857142858
1902,,15.0,,10.0,,5.0,,,2.0,,,,,,10.0,,,,37.0,,,2.0,,,,,0.05,,105.0,,,1.02,20.672222222222224
1903,,,,,,3.5,18.0,,43.0,0.05,,,,,,,,,,,,,,,,,,,,,,"3,5
74",16.1375
1904,,,,,,,,,,,,,,,51.0,,,5.0,,,,9.0,,,,,15.0,,14.0,,,134,18.8
1905,,,,,,,,,,,,,,,,186.0,,,9.0,,,,,,,,,,,14.0,,4162,69.66666666666667
1906,,,,,,,,,,,,,,,,25.0,,,,,,,17.0,,,,,,,,,42,21.0
1907,,,,10.0,5.0,13.0,,,15.0,,,,,,,,,,,,,,,,,1.0,,,,,,"1.50
43",8.8
8061,,,,,,,,,,,,,,,0.46,0.01,,,,,,50.0,0.1,25.0,,,,,,,,,15.113999999999999
1909,,,,,,,,,,15.0,,,,,,,,,,,,,,3.0,,,14.0,,,,,"125
1.6",10.666666666666666
1910,,75.0,,,,,,31.0,30.0,153.0,,,,,,,,,,10.0,,,,,,,,,,,,"1.0
2.26",59.8
1911,,,,12.0,,,,,,,13.0,,,,,,,2.0,,,,,,,,,,,,,,27,9.0
1912,,,13.0,2.0,,,,,,71.0,,,,,,,,,,,,,,,,,,53.0,,,,1.80,34.75
