11913,,,3.0,,,,,,,2.0,,4.0,81.0,,,,,10.0,,,4.5,3.0,,,,,,,,,,485,15.357142857142858
1914,5.0,,21.0,9.0,0.03,,,,,,,,4.0,20.0,,,,,,41.0,,,0.63,0.64,,,,,,,,"1
9
2.50",11.255555555555555
1915,,,,,,,,16.0,,,,5.0,32.0,,,,,,,,,,,,,,,,3.0,5.0,25.0,95,14.333333333333334
1916,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,59,37.0
1917.,6.0,6.0,18.0,,,21.0,,,,,,,,,,,,,,,,2.0,,,,56.0,87.0,,,,,"180
1.38",28.0
1918,,,97.0,17.0,36.0,,,,,,5.0,4.0,,4.0,,,,,,,,,,,,,,,,20.0,,"17,0
84",26.142857142857142
1919,,,,,,,,,,,,,,,,5.0,60.0,,-26.0,,,64.0,,,,14.0,,,,,,"2,5
2,10",23.4
920,,,,,,,,,,,,,,,,0.54,,,,,,,,,1.2,,,,,,,"3.00
2.12",0.87
1921,52.0,68.0,,,,,,2.0,,,,,,,,,0.09,,,,,,,1.0,,,,,2.0,,,"15.50
1.49.",20.848333333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,
1923,,,,2.25,,19.0,,,3.0,102.0,25.0,0.35,,4.0,,7.0,,2.0,,,,,,25.0,,,1.5,,,,,"15.3
1.80",17.37272727272727
1924,,1.0,,,,,,150.0,,,,,75.0,,,6.5,,,,,,,21.0,,,0.04,0.05,,21.0,24.0,23.0,"8.75
98",32.159000000000006
1925,7.75,,,2.75,0.54,40.0,75.0,,,,,0.0,,7.0,,,6.0,,,54.0,124.0,28.0,2.0,,50.0,,,,53.0,,53.0,"11.90
2.41",33.536
1926,,,5.0,,,,,,,,,,,,2.7,0.9,20.0,,0.7,5.7,,,0.9,,,,,0.08,0.7,8.0,,"14.25
7.7",4.468
1927,,25.0,4.0,,28.0,0.66,,,,,3.0,,,,7.0,,,3.0,,0.5,,,,,,,1.0,15.0,,,5.0,1.92,8.378181818181817
1928,,,,,15.0,35.0,,,,,35.0,70.0,,,,,,,,,,,,,,,,0.41,,,,"2.11
2,53",31.082
1929,,12.0,,,,,,,,,,,,,,,4.0,,,15.0,,,,15.0,,4.0,2.0,45.0,17.0,,25.0,"36.75
3,79",15.444444444444445
1930,26.0,,,,20.0,25.0,0.06,,4.0,,3.0,0.04,,,10.0,47.0,,,,,,,,,,0.04,0.04,,40.0,,,1.90,14.598333333333331
1931,3.0,,,,,,,,,,,,,9.0,15.0,,,,,,26.0,,27.0,,32.0,19.0,7.0,,,,,"4,58
2.02",17.25
"1932
8-311",,,80.0,2.0,5.0,,,3.0,9.0,81.0,1.42,,,,,5.0,,0.7,,,,,,,0.2,,10.0,,10.0,0.1,,"5.
2.66",15.955384615384615
