1913,,,,,,,53.0,,,3.0,,,71.0,,,,,20.0,22.0,,0.06,43.0,,12.0,20.0,,,2.0,,6.0,,281.0,22.914545454545454
,,,97.0,,4.0,,0.02,,,,,,7.0,,,,,,,,,,,16.0,38.0,3.0,10.0,,,,,1.26,21.877499999999998
1915,,,,,,,,,,34.0,20.0,,,,,,,,,,,,,17.0,,,,,,,,53.0,23.666666666666668
1916,,,,,,,,,,,,,,,,,,7.0,,,,,6.0,,19.0,92.0,30.0,17.0,,,,2.34,28.5
917,,13.0,20.0,,,,,20.0,3.0,,,,,,,,,,,6.0,,,12.0,,,,,,,,,56.0,12.333333333333334
"3161
19",,,,,,,,,,,,,,,,4.0,,,,,,21.0,24.0,,,,,,,,,57.0,16.333333333333332
,,,,,,,,,,,,,13.0,,,,,,,,,,,,,17.0,,,,,,30.0,15.0
1920,,,,,,2.0,62.0,,,4.0,,23.0,14.0,20.0,,,,,,,31.0,,,,,,,,100.0,,,1.56,32.0
1921,,105.0,,,,8.0,,,,18.0,,,,,,,,,,,,14.0,,,,,,,32.0,,,87.0,35.4
1922,,,,,,,,,106.0,0.02,,,,,,,,,,,,,,,,,,,,,,8.0,53.01
1923,92.0,1.2,10.0,,,,0.05,,,,0.23,,,,0.09,,,,10.0,,,3.0,0.12,0.02,,0.03,,,,,,3.01,10.612727272727273
1924,,,,,,3.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,57.0,9.333333333333334
1925,,,3.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,33.0,10.5
1926,,,,,,,,,,,,,,138.0,5.0,,,33.0,81.0,16.0,,,,,,,,,,,,2.73,54.6
1927,27.0,,,,,,,1.0,7.0,,,,,,,33.0,,,,,,,,,,23.0,10.0,,,,,2.0,16.833333333333332
1928,,0.07,,,,,,5.0,,51.0,20.0,,,,,,,,,,,,,,,,,,35.0,,,1.18,22.214
1929,30.0,,,,,,,,35.0,,,,,7.0,53.0,69.0,2.0,2.0,48.0,,,,,,,,,,,,,2.46,30.75
1930,,,,,,,,,,,,,,,,,,,,89.0,,,13.0,,,,0.02,,,,,94.0,34.00666666666667
1931,,,,,,,,,0.02,,,,,,32.0,33.0,36.0,26.0,,,8.0,,,,,,507.0,,,,,1.37,91.71714285714286
1932,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,124.0,24.0
