1933,,0.06,,0.04,,,4.0,,,,,,,,24.0,10.0,0.01,40.0,,,,,,,,5.0,,,,,,.85,10.38875
1934,20.0,0.04,,,,9.0,,70.0,0.03,,,,,,,,,,,,,,,,,,,32.0,2.0,,,1.49,19.009999999999998
1935,,,,,,,,,,,,,,0.08,25.0,,,,,,,,,,,,,,,,,33,12.54
1936,10.0,27.0,,32.0,81.0,,,,,,,,,21.0,80.0,,,,,,,,,,,,,,,,1.0,1.17,36.0
1937,,,,,,,,,,0.06,30.0,,,,,,,,,,,2.0,,,70.0,,,0.01,,0.05,,,17.02
1938,,,,,3.0,,,,,,24.0,,,,,,,,,,,,,,,,0.02,17.0,,,,18,11.004999999999999
1939,,,,,,,,,,,,,,,,17.0,0.03,,34.0,,0.03,0.07,,,,,,,3.0,,,24,9.021666666666667
1940,,,0.08,3.0,0.05,,,,,,,,,,3.0,,,,,,,,,,,,,,,8.0,0.1,46,2.3716666666666666
1941,31.0,,,10.0,41.0,2.0,2.0,91.0,,,,9.0,28.0,5.0,,4.0,186.0,19.0,0.02,,,,,,,17.0,,,,40.0,16.0,3.90,31.31375
1942,0.05,,,0.08,0.02,,,,0.05,0.3,,0.14,0.02,0.02,0.13,,,,,,,0.02,0.16,,,8.0,0.06,,,,0.07,1.93,0.6514285714285715
1943,0.14,,,0.03,,0.24,,,,,0.28,0.02,210.0,0.03,,0.05,0.06,,,0.1,,0.01,,,,,,,,0.23,0.09,"1.46
1:3",16.252307692307692
1944,,,,,,,,,0.03,,0.02,,,,0.01,,,,,,,,6.05,0.03,,,,0.08,,0.04,,80,0.8942857142857142
1945,,,,1.0,,,,,,,,,,,20.0,,18.0,,,,22.0,,,,144.0,,28.0,,,,3.0,170,33.714285714285715
1946,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,72.0,,,,,193,43.0
1947,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,17,3.5
1948,1.0,,0.03,40.0,2.0,,15.0,,,2.0,,,,,,,0.63,,,51.0,,0.56,0.33,,,,7.0,,0.83,8.0,,5.43,9.875384615384615
1949,4.0,56.0,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,7.0,,,,,14.4
2967,15.0,7.9,,,15.0,,,,,,23.0,,,,,,,,25.0,,,,,,,,,,,,,,17.18
1951,,,,,13.0,,16.0,9.0,,,,,,8.0,,,,,,,,,,6.0,,,,,,,,69,10.4
190252,19.0,3.0,,,,,,1.0,20.0,,,,0.06,8.0,,0.01,,,,,0.03,,,,,,,,,,,1.28,6.3875
