1933,67,74,80,77,76,82,81,73,66,70,70,69,71,57,56,61,59.0,19,50,45,43,59,68,71,62,62,56,53,55,53,48,63.7,62.354838709677416
1934,75,60,59,64,68,77,62,68,80,85,86,58,57,59,47,56,50.0,48,54,48,52,47,50,54,54,57,52,55,52,53,59,59.4,59.54838709677419
1935,80,82,70,64,63,63,68,69,64,64,63,57,50,56,55,57,62.0,66,48,46,40,43,46,55,58,62,64,49,33,23,24,56.2,56.25806451612903
1936,69,71,65,61,60,68,75,75,74,79,70,64,66,59,57,62,68.0,70,57,55,48,54,62,62,65,60,58,59,65,52,45,62.9,63.064516129032256
1937,48,49,48,52,54,56,61,65,69,71,71,70,73,66,61,55,51.0,52,58,61,68,71,69,60,63,69,68,66,57,48,49,60.5,60.61290322580645
1938,76,74,59,54,49,46,55,60,66,64,54,57,51,49,43,50,52.0,55,62,65,64,64,67,55,60,71,57,64,49,54,49,57.9,57.903225806451616
1939,61,50,60,60,54,55,55,56,61,62,64,87,70,70,53,64,58.0,19,59,65,67,67,69,42,42,38,57,61,56,62,58,58.9,58.12903225806452
1940,57,61,50,58,61,66,69,64,63,63,60,62,61,64,64,66,68.0,73,72,72,58,59,61,60,53,41,45,56,52,54,51,60.0,60.12903225806452
1941,55,55,60,55,51,51,49,51,60,60,65,51,54,62,61,56,61.0,65,50,55,53,57,57,52,47,57,58,44,45,46,47,54.5,54.516129032258064
1942,58,60,64,67,76,75,65,74,79,76,52,53,59,58,55,60,61.0,68,64,65,62,61,54,59,58,52,51,48,48,52,53,60.9,60.87096774193548
1943,83,80,79,83,76,78,82,80,77,71,54,54,54,61,50,56,53.0,50,47,50,42,45,46,57,58,56,44,45,46,42,40,59.4,59.32258064516129
1944,60,65,67,64,55,62,71,62,62,72,77,89,62,60,64,63,66.0,20,71,69,67,63,70,69,72,75,75,74,71,68,49,66.6,65.61290322580645
1945,71,75,68,61,65,73,79,74,72,74,72,89,70,75,75,64,50.0,49,44,45,43,43,47,68,65,56,51,53,57,57,59,62.0,62.70967741935484
1946,54,55,55,48,58,52,53,53,55,52,60,52,63,52,50,51,49.0,52,55,55,52,50,52,59,52,42,39,39,35,36,44,51.0,50.774193548387096
1942,64,62,71,69,54,54,52,52,60,57,52,59,77,60,58,52,53.0,58,50,48,37,48,46,55,55,55,51,42,53,50,55,55.2,55.12903225806452
1948,60,67,72,70,59,47,49,62,59,64,70,62,68,66,61,55,54.0,59,64,60,63,64,71,77,57,56,57,48,50,47,45,60.1,60.096774193548384
1949,54,59,59,62,58,49,42,42,48,52,52,57,51,52,59,51,47.0,45,36,38,42,53,57,61,60,63,55,58,56,49,52,52.0,52.225806451612904
1950,51,55,56,57,58,53,52,63,74,58,59,75,66,75,68,55,57.0,54,55,64,52,57,54,55,64,52,58,75,47,57,49,56.4,58.87096774193548
1951,59,66,60,50,55,63,59,73,79,78,83,61,57,55,58,49,42.0,49,48,51,46,47,47,42,54,49,49,54,58,45,40,55.8,55.67741935483871
1952,74,78,81,73,72,76,80,83,73,71,70,74,70,66,65,66,66.0,75,79,67,73,75,74,75,59,67,65,72,71,58,56,71.1,71.09677419354838
