file,row,col,value,corrected
collected_csvs\january\january_precipitation_1.csv,16,2,"Trace
12",1
collected_csvs\january\january_precipitation_1.csv,15,3,98',1
collected_csvs\january\january_precipitation_1.csv,15,4,0:2:5,1
collected_csvs\january\january_precipitation_1.csv,15,5,"2.00
357-",1
collected_csvs\january\january_precipitation_1.csv,6,6,"2,",1
collected_csvs\january\january_precipitation_1.csv,15,6,"3.00
3",1
collected_csvs\january\january_precipitation_1.csv,9,8,1/4,1
collected_csvs\january\january_precipitation_1.csv,13,8,trace,1
collected_csvs\january\january_precipitation_1.csv,18,8,1.5°,1
collected_csvs\january\january_precipitation_1.csv,2,9,ST.,0
collected_csvs\january\january_precipitation_1.csv,10,9,tra,0
collected_csvs\january\january_precipitation_1.csv,3,10,09°,0
collected_csvs\january\january_precipitation_1.csv,3,11,90',0
collected_csvs\january\january_precipitation_1.csv,8,13,1.5%,0
collected_csvs\january\january_precipitation_1.csv,12,13,I',0
collected_csvs\january\january_precipitation_1.csv,15,14,98'0,0
collected_csvs\january\january_precipitation_1.csv,16,14,"Trace
ace",0
collected_csvs\january\january_precipitation_1.csv,16,16,Trace,0
collected_csvs\january\january_precipitation_1.csv,18,16,1.5°,0
collected_csvs\january\january_precipitation_1.csv,2,17,"75
.06",0
collected_csvs\january\january_precipitation_1.csv,14,17,"1,3",0
collected_csvs\january\january_precipitation_1.csv,2,18,Trac,0
collected_csvs\january\january_precipitation_1.csv,12,18,trao,0
collected_csvs\january\january_precipitation_1.csv,16,18,".50
10",0
collected_csvs\january\january_precipitation_1.csv,20,18,Tr,0
collected_csvs\january\january_precipitation_1.csv,10,19,tra,0
collected_csvs\january\january_precipitation_1.csv,3,20,'?,0
collected_csvs\january\january_precipitation_1.csv,15,20,"0,50",0
collected_csvs\january\january_precipitation_1.csv,18,20,4.D,0
collected_csvs\january\january_precipitation_1.csv,2,21,"8.
31",0
collected_csvs\january\january_precipitation_1.csv,15,21,"0.25
0.05.",0
collected_csvs\january\january_precipitation_1.csv,16,21,"Trace
16",0
collected_csvs\january\january_precipitation_1.csv,6,22,"3,",0
collected_csvs\january\january_precipitation_1.csv,17,22,/7,0
collected_csvs\january\january_precipitation_1.csv,9,23,10',0
collected_csvs\january\january_precipitation_1.csv,12,24,a,0
collected_csvs\january\january_precipitation_1.csv,2,25,"4
3/",0
collected_csvs\january\january_precipitation_1.csv,14,25,tr,0
collected_csvs\january\january_precipitation_1.csv,19,26,"5.0
28-",0
collected_csvs\january\january_precipitation_1.csv,10,30,.4.,0
collected_csvs\january\january_precipitation_1.csv,11,30,a,0
collected_csvs\january\january_precipitation_1.csv,15,30,"1.00
0.70-",0
collected_csvs\january\january_precipitation_1.csv,16,30,"4.00
40",0
collected_csvs\january\january_precipitation_1.csv,11,31,9',0
collected_csvs\january\january_precipitation_1.csv,15,31,"0,25
0.30-",0
collected_csvs\january\january_precipitation_1.csv,16,31,".75
.08",0
collected_csvs\january\january_precipitation_1.csv,17,32,to.,0
collected_csvs\january\january_precipitation_2.csv,11,3,".5+
41-",0
collected_csvs\january\january_precipitation_2.csv,14,5,"5
8",0
collected_csvs\january\january_precipitation_2.csv,14,6,".5
33",0
collected_csvs\january\january_precipitation_2.csv,10,7,"5,0",0
collected_csvs\january\january_precipitation_2.csv,14,7,=,0
collected_csvs\january\january_precipitation_2.csv,9,8,2m,0
collected_csvs\january\january_precipitation_2.csv,10,8,"1,0",0
collected_csvs\january\january_precipitation_2.csv,18,9,9.0°,0
collected_csvs\january\january_precipitation_2.csv,4,10,Z,0
collected_csvs\january\january_precipitation_2.csv,10,10,",2",0
collected_csvs\january\january_precipitation_2.csv,3,15,"27
.09",0
collected_csvs\january\january_precipitation_2.csv,2,18,ho,0
collected_csvs\january\january_precipitation_2.csv,10,18,"4,5",0
collected_csvs\january\january_precipitation_2.csv,15,18,"1,5",0
collected_csvs\january\january_precipitation_2.csv,10,19,0%,0
collected_csvs\january\january_precipitation_2.csv,19,19,10',0
collected_csvs\january\january_precipitation_2.csv,7,21,"1.5
30",0
collected_csvs\january\january_precipitation_2.csv,10,21,"2,0",0
collected_csvs\january\january_precipitation_2.csv,2,22,"2
36",0
collected_csvs\january\january_precipitation_2.csv,20,22,90°,0
collected_csvs\january\january_precipitation_2.csv,19,23,",39",0
collected_csvs\january\january_precipitation_2.csv,4,24,ZZ,0
collected_csvs\january\january_precipitation_2.csv,8,24,",38",0
collected_csvs\january\january_precipitation_2.csv,5,25,"2,0",0
collected_csvs\january\january_precipitation_2.csv,2,26,LL,0
collected_csvs\january\january_precipitation_2.csv,17,26,Z,0
collected_csvs\january\january_precipitation_2.csv,6,27,"2,0",0
collected_csvs\january\january_precipitation_2.csv,8,27,4. Sm,0
collected_csvs\january\january_precipitation_2.csv,10,27,"2,0",0
collected_csvs\january\january_precipitation_2.csv,13,27,"00%
8",0
collected_csvs\january\january_precipitation_2.csv,20,27,80°,0
collected_csvs\january\january_precipitation_2.csv,10,28,"3,0",0
collected_csvs\january\january_precipitation_2.csv,6,29,"09
T",0
collected_csvs\january\january_precipitation_3.csv,1,2,30°,0
collected_csvs\january\january_precipitation_3.csv,5,2,.0/,0
