1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,02,,,,,,,,,,,,,,,,,,,,,,,,,08,,10
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/,30,54
89;,,,,,,,,,,,,,,,trace,,,,,,trac,,,,,trac,,,30,,63,1.03
1899,,,,,,,,05,31,25,02,,.02,35,28,,,,,26,,15,,,,18,35,,,,,222
1900,,,,,,,,17,,,,,,,,,,,,,26,,53,,,,,,,,,
1901,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.04
902,,,,,,,,,,,,,,trao,trav,"20
170",trac,,,,,,,,,,,,,,,70
903,,,,,,12,,,,,,,,,,,,,trac,,,02,14,06,19,63,,,,,,917
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,",25"
1905,,,.03,,,,,,,,,,,,,04,,,,,,,,,,,tr,,,,,
1906,,,,,,,,,,,,,1.15,,,,,,,,,,1.18,,,,,,,,,274
1907,,,tr,,,,,05,33,65,,,,,,,,,,,,,,23,65,tr.,,,tr,05,tr,196
1909,,,,,,,,,,,,,.12,,,,,Tr,,,,.33,,Tr,,,,23,TH,,,68
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1911,,08,18,10,,5,,,,,,,,7r.,,,,,,02,,,,,,,,,,,,43.
,10,,03,,,,,,,,,,,,07,,,07,,,,,,,,,91,03,03,39.,23,214
