1913,,,05,,,,,,,,,,05,,,,,,,,,,,,04,,,,,,,26
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
1916,,,,,,,,27,8.,,,,22,,,04,977,Zo,,,,,,,,,,,,,,1.2-44
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,,,,,,13,05,,,,,,,,,20,15,,04,,,,,,,,,,,168
1919,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14
1920,,,,,,16,,08,,,,,,,,,,,,,,,,,06,,23,.32,07,,,92
1921,,,,,,,,,,,,,,05,,,,,,02,,,,,,,,,,,,
1922,,,,10,,,,,,tr,.36,.58,,30,,,,/2,,,,,,,,,,,DO,08,,bti
1923,,,,,,,,,05,,,,,,,,,,,.15.,,,,,,,,,,,,.20
1924,,,,,,,,,,,,,,,-03%,33,,013,17,,,,,,,,,,,,,562
1925,,,,,,,,,,,,,,06,,,,,,,,34,10,,,,,,,,,15
1926,,,,,,,,,,,,,,,,,03,42,,,,,,,,D,,,,951,.21,"2,32"
1927,62,07,,,,,,,,,08,,,,,,,,,,tr,23,,,,,,27,32,,33,1.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,80',,,,,08
1929,01,,,,,,,,,,,,,,,,,,,,,,,,08,,,,,10,,19
1930,,,,,,,,,,,,,,,,,,04,,,,,,,,,,,,,,04
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00
"8-61
32",,,,,,,,,,,,,,,,,,,,,15,,,,,,,a,,,,15
