1893,40,42,48,40,,43,16,47,47,41,33,35,37,39,46,43,42,40,"7
36",41,46,38,40,35,,36,28,33,35,38,39,"39.6
392"
1894,34,36,34,40,41,35,34,37,41,38,36,38,35,34,24,36,38,"J
40",37,36,42,43,36,32,"3
38",28,94,22,29,30,23,"34.7
348"
1895,34,,30,35,34,36,35,37,44,,49,,38,38,32,30,22,25,33,35,"27
37",36,37,32,40,44,42,28,,29,43,3567
1896,34,39,42,"J
47",41,39,48,48,49,52,40,45,40,41,36,31.,37,40,44,47,44,"L
43",42,38,45,45,50,51,45,41,39,427
1897,,,32,38,45,8,48,43.,37,43,13,40,42,36,22,,23,16,,,,32,31,35,37,38,14,50,43,38,32,"34.7
346"
1898,,36,33,34,30,26,21,26,32,28,25,25,25,24,30,34,36,37,40,36,35,33,26,32,38,48,46,34,26,20,24,"31.6
322"
1899,15,42,32,36,36,25,,40,39,35,39,38,35,34,32,30,25,29,30,32,45,42,29,42,41,42,32,36,43,41,42,"37,8"
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,47,47,47,46,40,41,39,31,32,32,31,30,25,30,34,34,34,,,2,"47
$17",45,53,42,38,49,36,39,40,41,39,"38.8
387"
1902,,35,35,39,37,33,34,45,46,37,34,34,"38
32",34,"31
37",,24,22,29,35,39,40,40,39,47,48,"J
39",33,32,37,35,364
1903,54,48,36,36,40,49,35,29,29,29,26,32,,39,"39
42",42,"42
36","36
35","35
43","43
40",40,,"m
38","38
37","39
35","35
38","38
34",34,39,,33,373
1904,43,47,39,39,Th,42,35,34,40,,37,42,38,39,48,38,48,43,46,44,,36,36,35,32,26,26,32,40,43,46,313
1905,35,34,38,38,38,40,29,39,35,35,37,39,38,42,43,40,39,42,40,36,34,36,31,33,36,43,38,"86
86",33,33,33,"3619
283"
1906,30,35,42,33,37,36,48,39,36,41,45,39,31,30,30,32,36,39,40,44,48,49,"J
49",44,43,41,38,37,40,38,34,"38.6
200"
1907,46,59,47,52,62,40,44,40,38,42,43,44,45,39,38,33,30,28,28,134,"39
29",45,44,50,35,42,40,35,84,,98,40.4
1908,20,36,28,32,18,30,32,40,31,"3,",39,42,50,36,33,33,27,2,80,28,32,34,,,63,,,46,,30,30,35.2
1909,39,41,32,23,26,25,27,37,40,35,34,44,44,37,,,28,,31,34,30,25.,21,26,30,32,28,28,M,38,38,32.3
1910,97,,hh,41,40,38,,40,40,37,38,41,,39,32,36,3,31,31,28,"7
34",32,3,,36,95,3.,-39,35,,32,375
1911,47,45,,45,to,39,37,,44,40,50,18,00,St,36,39,35,33,32,31,34,38,39,,28,25,3,34,30,28,27,"38.3
38.27"
L2,33,,48,32,32,32,52,51,,,☑,36,40,42,50,"136
36",50,So,32,50,30,30,34,46,34,34,34,,34,40,30,39.2
