1893,34,33,35,16,33,34,39,,,40,29,15,30,27,23,36,33,32,25,32,37,34,30,28,25,26,,24,26,25,33,"31,1"
1894,,,26,27,34,28,22,29,23,32,32,28,28,29,25,14,30,31,29,26,34,36,29,29,29,22,14,,12,15,21,256
1895,30,22,19,25,32,34,33,27,34,37,38,"42
5",28,20,30,14,4,13,22,26,22,10,22,20,28,28,"J
36",,14,,28,"25.
34,9"
1896,,28,36,34,35,32,32,37,40,41,40,36,32,33,32,29,29,30,36,35,35,35,32,25,32,34,37,36,33,32,32,"33.4
330"
1897,,20,19,23,33,34,37,36,30,33,34,34,31,32,18,20,20,10,,,25,13,,26,30,31,35,43,40,27,24,"26
258"
1898,27,25,23,26,16,13,,7,,8,,,,,10,15,30,33,35,32,28,22,,26,30,35,36,30,23,18,14,193
1899,37,27,27,28,26,25,32,"32
30",30,30,"30
31","31
28",28,2,"28
17",17,15,15,"15
26",#16,30,33,36,34,32,36,27,25,36,33,33,1786
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,40,39,38,35,31,29,,22,26,25,21,19,19,22,21,18,ST,,,"21
20",21,33,35,32,,,,22,30,29,26,"27.0
273"
1902,32,28,26,26,27,23,27,32,36,29,25,27,20,94,,15,16,,13,"22
23",22,34,"20
28",26,39,36,27,24,25,29,30,25.8
1903,,30,,26,26,26,,,23,21,19,23,,36,33,37,31,21,26,38,35,,"31
34",30,30,32,29,21,25,30,23,"28.3
280"
1904,35,29,23,,29,13,23,25,28,33,31,32,32,32,35,29,36,35,38,38,34,"J
26",25,27,22,,19,21,30,36,33,290
1905,20,22,32,29,08,35,33,29,27,27,30,30,28,28,32,32,33,33,33,32,28,24,22,26,28,31,30,24,15,25,130.,283
1906,17,22,28,23,22,26,35,32,20,28,"L
34",30,27,25,26,23,30,33,33,33,39,40,41,39,35,29,30,30,35,31,25,30.0
1907,36,36,35,39,36,8/,36,26,3/,34,"L
83",34,32,31,28,26,20,17,17,25,27,36,36,34,30,34,31,26,20,21,26,"29.8
30.0"
"1908
08",,2/,"25
24",25,23,23,25,37,28,25,24,31,33,26,27,,26,"15""",,,13.,26,29,28,"""
3/",32,32,36,28,24,25-,24.8
1909,31,31,26,,16,10,97,19,30,26,30,33,81,28,26,24,25°,23,2Z,20,2/,10,16,,-91,22,25,,,,24,20.5
1910,33,32,38,2,32,32,3 3,"3
34",23,26,32,32,33,29,27,27,27,27,26,24,zef,25,29,3/,"28
28",30,27,30,26,,,294
1911,3/,31,32,22,25,30,24,31,,30,29,,24,29,29,30,24,30,,25,T,97,27,23,12,,22,25,20,,7,2.49
412,27,28,26,29,20,24,22,21,,x,X,26,26,30,29,24,30,30,24,30,10,19,26,26,22,22,24,26,26,20,20,24.5
