1894,34.5,24,28,23,13,20,25,12,32,42,37,42,43,44,44,34,34,36,30,28,32,23,20,28,34,29,36,37,37,31,23,30.8
1895,26,27,34,41,36,28,28,32,43,43,42,44,40,31,30,38,32,35,27,32,36,37,21,23,25,29,18,20,31,32,32,32.12
1896,33,24,32,38,45,41,43,47,30,37,32,27,24,26,24,35,44,43,38,45,40,36,36,33,40,49,51,42,38,41,42,37.29
1897,31,31,35,32,36,43,42,46,36,30,30,26,30,29,28,24,40,36,37,44,44,49,48,18,14,10,21,31,34,36,40,33.8
1898,37,35,36,37,41,31,34,31,23,21,25,26,30,29,31,31,34,34,35,30,31,27,20,20,19,23,29,26,35,33,35,30
1899,35,38,20,10,12,12,12,27,35,37,35,35,33,35,39,44,42,45,42,51,50,35,36,40,50,49,50,45,46,45,41,36.11
1900,40,41,41,38,45,49,46,42,38,44,43,50,45,41,36,45,45,53,46,39,40,45,45,37,47,39,33,33,36,46,37,42.3
1961,24,35,33,38,35,33,31,31,24,25,41,41,43,47,38,42,41,39,41,43,36,,,36,39,45,41,40,33,34,37,34.1
1902,,,,,43,53,52,55,51,43,44,48,32,34,36,30,32,37,37,33,33,29,29,29,17,6,12,16,19,19,17,32.8
1903,37,37,47,47,46,49,36,34,31,33,32,29,30,28,29,25,27,35,37,35,48,40,42,49,46,33,33,29,30,34,32,36.1
1904,28,30,32,28,33,37,36,40,39,38,38,47,40,,39,45,54,37,32,25,35,33,38,,32,36,38,36,37,35,45,36.7
1905,36,40,49,,40,,35,,35,33,30,44,31,36,39,40,,42,38,28,36,37,44,49,45,48,,46,37,35,32,38.3
1906,28,29,35,44,41,40,39,45,39,33,35,43,40,37,33,39,38,36,29,29,36,46,40,42,46,43,45,36,37,45,43,37.9
1907,26,26,36,38,31,24,21,27,20,5,20,18,8,7,8,19,23,24,33,40,40,39,38,34,27,26,27,25,33,34,46,26.87
1908,39,40,36,40,46,40,40,47,,44,42,37,38,35,32,38,41,42,43,44,35,25,40,42,38,39,41,37,34,23,15,37.72
1909,39,42,47,37,15,6,13,-2,5,-2,3,,9,38,45,41,44,43,47,45,49,37,35,36,40,40,36,28,35,40,43,27.6
1910,23,20,17,11,19,26,26,29,,32,35,29,27,35,,36,35,37,31,34,37,41,44,43,35,36,35,35,31,40,31,34.3
1911,25,18,33,37,38,43,43,39,44,43,33,33,30,30,20,33,35,43,45,33,30,32,33,34,40,34,42,40,,42,25,35.3
1912,22,21,20,22,24,22,8,17,34,38,33,44,49,50,48,43,38,39,35,38,42,44,46,44,46,44,43,40,44,46,42,36.3
