,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,25,5.3,,,,23,ST.,,2,02,,50,,20,"75
.06",Trac,,,"8.
31",,06,,"4
3/",07,,,,21,,15.85,"23.8
3. 33"
89.,,,,,,2.,,2.,09°,90',50,,,,,2.,,,'?,,,,,2.,3.,,,,,,,"29.0.
1.16"
1896,,,,,,,32,,,,,,,,,,.30,.29,,50,.27,,,,,,,27,,,,"8.
1.95"
1897,,,,,,,,,,,,,,,,,,,4.,67,,,,,,,,,,,,3. 3
898,,,,,"2,",6.,,,,,,,2.,,,,,6.,,,"3,",4.,,,2.,,,,,,,33.
1899,,,,,,,,,,,,,,,75,12,14,,,47,60,,,,,,,,,,,10.
,12,19,,,,,04,13,20,,28,1.5%,30,13,,05,,,,,,,,,,,,,,,,"3,03"
1901,,2,174,14,,,1/4,2,,,,,,,,,,,,,,10',,,,,,,,,,8
1902,,,,,,,,tra,,,,,,,,,,tra,4,-3.,,,,3.,,,,,.4.,,,
1903,,100,45,,,,,,15,,,,,,,,,15,,20,20,20,.07,.95,19,,2,,a,9',,254
1904,,3.2,3.,,,125,25,,,5.,,I',3.,,,,trao,5,,7.,4.,,a,,,15,,,,,22.0,"220
trac"
,1.5,19,,,,,trace,,,,,,,,,10,,,,,,10,37,,,13,26,,,,,
1906,,,,20,1.0,3.0,7.0,2.0,,,,10,,,01,"1,3",0.5,0.1,,,01,,31,tr,,,,,,,,"11.90
61"
1907,.76,98',0:2:5,"2.00
357-","3.00
3",,1.00,,,,1.00,3.00,98'0,,0.36,,,1.50,"0,50","0.25
0.05.",,,,,,370,00,9.00,"1.00
0.70-","0,25
0.30-",08,"34,03
2.17"
,"Trace
12",16,,,,,,.05,.10,,.01,,"Trace
ace",,Trace,,".50
10",,05,"Trace
16",,,,,,,,,"4.00
40",".75
.08",,"5.25
133"
1909,,,15,,,35,1.00,32,,,,,18,,,23,12,18,29,48,/7,,02,27,,,,,,,to.,"40
BLE"
191,,,,1.0,,,1.5°,,,,,,,,1.5°,,,.53,4.D,,.50,34,65,,,4.00,,,,,1.00,"12.0
3.03"
1911,,,,,,,,,,,,,,,,,10,,73,.25,,,,,"5.0
28-",,,,,.09,20,"7.75
140"
"-311
12",,,,4,,12,,,04,05,,,,,,,Tr,,,,,,,,20,20,12,30,,,,M
