1933,,,21,.01,,,,,,80,,,,,,,,,,,,,,,,,,,,,,30
1934,,,,,,trace,,,,,,,,,,,,,,-,.07,,,,"900°
10°",,,,,,,.19
1935,,,,,,10,22,,,,,,,,,,,,,,,,,,Trace,,,,,,,32
1936,,,,,,,,.03,".04
035","C10
10°",tr.,,,,,,,,,,,,,,,,,,,,,.08
1937,14,,,,,,,,,,,,.07,,,,,,,,,,,,,,,.09,,,,30
1938,,02,,,.07,,,17,,,,,,,,,,,,,,,,,,,,,,,,31
1939,,,42,05,12,,,,,,,,.06,,,,,,,,,,,,,,,,,,,.65
1940,,,,,,,,,,,,T,,,,T,,118,,10,,,,,,,2,,,,,1.04
1941,,,,.03,,,16,,,,,,,,,,,,T,,,,,,,,.02,T,,,,0.21
1942,,,,,,,,,,0.15,,,,810,0.53,0.02,,,,,,,,,,,,,,,,88
1943,,,0.25,,,,,TR,,,,,,,,,,,,,,0.28,,,,,,,,,,0.53
1944,,,,,,,,,,,,,,,,,0-19,,TR.,,,,,,,,,,,,,T
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1946,,,,,,,,20°,24,,v.,,,,,,,,,,,,,,,,,,,,,26
1947,,,,,,,,,,,Tr,,,,Tr₁,,,,,,,,Tr,,80',,,91,,,,24
1948,,,,,25,,26,,,06,05,,,,,,,,36,12,,,,,,,61,57,.03,,,687
1949,,,,,,102,,,,to,,I,,,,,,,10.,T,,,58,".3z
TO",,10,2,,,,,38
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.,,,,30
1951,,,,30,,Tr.,,,,,,,,,,,,,,,,Th,,Th,,,,,,,,30
841952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.07
