1893,,,,,,,,,,,07,,,,,06,,,,,,,,,,,,,,,,13
1894,24,,,,,,05,,05,,tra,,,,,,trace,,48,,,,,,,,,03,04,,,90
1895,,,,,,,,,,04,,,,,,15,,,,,,,,,,,,,,,,"1
119"
1896,050,,,06,60,07,,24,,,,,,,,,,,,,,,,,,,,,,,,"06
51"
1897,trac,,,,,,,,,,03,,,,55,05,100,20,23,,90',,10,,060,,060,,,,,"2,"
,03,,,,,,,,,,050,,50,13,,40,050,14,,,,,,,,,,,,24,,
1899,40.,20,,,34,,,,,,,,02,,,,,,,,,,,,,80,,,,,,1.53
1900,,,,,,,,,,,,,,,,16,,,,,,,,,32,,,,,,,48
1901,30,,,,,,,,,03,,27,,,,,,,,02,,,,,ace,12,02,,trac,,,E
1902,,045,trac,,,,,,,,,,,,,,,,,,,,,,,,trac,,tia,,,045
1903,trac,trace,,,,,,,,,,38,,,,13,,,,,,50,,,20.,,02,20,,,,146
1904,53,1.35,108,,trac,,,,,.10,,,,,,trac,,,,,,,,,,,,,,,,2.73
1905,,,77,,,,,,,66,,,,,,,,,,,,24,97,06,10,42,24,,,,,3.46
1906,,,,15,tr.,tr,,,tr,,,,tr.,,10,15,,tri,,,91',tr,,,,,26,,,,,82
1907,,,,17,,,,,12,55,28,,,,,,,,,,,,48,,,,,50,,,,4.65
1408,,,40,./2,,,,,,30,,,,,,,,,,,,,,,,15,,,,,,.97
1909,,,,,,,,35,05,,,,,,,tr,,,04,,,,,,,,18,,,,,-62
19/0,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,.25
1911,,,,,,,,71.,,,,,,,,,,,,,5,,27,,,,,,,,,.91
1412,,,,,,,,,,,,47,,1/,,,,,,,,,,,,,,19,,"9
bo",,109
