1893,,,45,,06,,,,,,,,,,,,32,21,06,20,,16,,,,,,,03,,,1.74
1894,,,,37,09,,.01,,,,,,,,24,02,,,,",21",,,,,,,05,,,,,1.82
1895,,,,27,,,,,,,,,,,,,,,,,25,,,,,125,,,,,,2.12
1896,.09,05,51,44,.03,18,,13,30,13,20,,13,02,,,,,,05,,02,,,,,04,,,,,2.42
1897,10,,,,,36,,,.08,,,,,,.05,,,,,,,,,38,33,,,,,,,#27
1898,,,,,,.02,,,,,,,,,21,.05,,,,,,05,30,,,,.75,50,04,02,,194
1899,14,,,,,,38,,126,,07,,,,,47,,12,,,,,,15,10,,,,20,,05,1.94
1900,,,,,20,,,,,.20,75,,,,,1.05,,,,,,,,,,32,,,,,,2.70
1901,19,,,,,,,03,27,,,,,,,14,26,,.48,,,,,,,,,09,,,,T
1902,19,,ST,,,,,,,,,,,,05,,,25,35,35,30,50,,,,,,,10,08,,242
1903,,,,,,trac,,trac,4,19,,,,,32,02,,140,,,,,,,,20,,,,,,2.27
1904,,02,,,,10,09,,,,,,",02",,,,,35,,,,,Face,09,,,,,,,,72
1905,,05,03,23.,,,,02,03,25,,T,T,T,,,"10
10",,,05,IT',05,40,106,,,02,03,,25,10,453
1906,,,,,,,,,,tr,,,,,28,10,,,,,,,10,,,25,ti,52,1.05,22,tr,2.5
1907,,,,,,,,,,15,,,,,,,,,70,05,,,,,,,,,,,,
1908,,,,,,,04,,,,,,,,,al,,13,,,,45,tr.,,,,,,.35,,,151
190,,,,,,To,,,,,26,03,,,,,03,,2,,,,,,,,.93,15,,,,1.50
"191
10",,,,,06th,,,,,870,,,,,,,,,,,,,,,40,,,,,,,
1911,,19,13,,12,,,16,,,,,,,,-82,,32,21.,,,,,.76,-05°,,23,,,,,2.39
,67,08,,,,,,,,,,,,,,,,,,98,08,,26,03,41,,,,34,,,2.85
