1893,34,34,40,55,53,49,52,,42,41,38,43,46,45,35,36,33,34,39,38,33,31,35,42,39,48,41,36,36,35,,40.7
1894,50,53,45,48,55,54,55,,61,53,57,,54,54,35,35,50,55,50,40,40,35,39,49,54,45,46,45,43,43,,4817
1895,51,,,35,35,36,36,45,46,44,35,41,39,"J
50",53,5,53,55,55,58,36,32,34,34,36,39,45,15,45,39,,"42.
425"
1896,,43,45,45,38,"43
42",42,35,,41,37,42,,57,"J
60",38,29,32,"30
38",25,39,36,35,22,16,12,13,10,18,,,353
1891,64,46,45,46,46,,38,40,52,42,59,56,36,35,34,39,46,62,42,34,36,40,46,32,32,34,28,27,36,39,,422
1898,51,47,53,51,48,46,37,33,32,32,45,35,37,40,40,34,47,47,47,32,29,32,35,32,31,33,40,38,38,39,,393
1899,55,60,58,52,52,37,60,51,58,52,55,30,52,58,52,48,45,45,48,"46
36",48,51,45,51,45,44,5,,46,39,,50.6
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,46,,46,56,60,49,"th
47",46,46,44,41,,57,55,56,53,19,46,47,48,45,49,52,45,"47
49",46,51,52,52,,,473
1902,49,,,39,45,40,,,50,51,56,44,43,,46,43,43,38,23,33,,30,31,36,36,36,,33,33,42,,"40.7
403"
1903,67,64,64,59,49,53,46,38,36,32,43.,3.6,38,38,38,32,32,30,40,44,47,42,,42,,48,,49,45,52,,"44.8
433"
1904,,55,59,59,57,69,.X,53,,63,,x,K,,x,7/,54,45,X,53,54,51,44,46,45,53,55,45,47,47,,"54.1
54.6"
1905,51,56,50,47,50,50,60,58,62,19,56,58,53,55,59,53,50,48,45,39,43,37,31,39,"2
45",46,32,23,31,"30
20",,47.2
1906,49,49,54,50,47,48,48,45,56,54,51,54,52,55,65,42,41,37,34,33,35,33,28,23,27,24,32,25,30,34,,41
1907,52,"L
59",50,58,52,99,56,56,55,56,54,54,51,42,49,45,43,42,47,42,43,42,59,47,47,50,39,42,53,49,,
1908,63,62,73,39,63,64,59,48,46,45,41,45,,49,53,9.9,60,63,52,46,45,,44,41,39,38,38,38,39,34,,26.5
1909,47,66,9.9,,4.9,47,45,6°3,51,45,43,39,35-,"Z2
N","30
30",33,28,45,50,"40.
40",24,,55,2.9,,,37,2/,,,X,"43.8
43.0"
1910,51,58,,58,45,51,,,,52,"52
444",44,41,,36,36,,,3,48,,7,,,46,,,35,3,,,"46.2
508"
1911,52,53,52,50,45,47,50,50,32,21,16,23,40,47,45,42,45,50,51,56,63,42,39,45,42,47,34,35,38,42,,42.7
,46,43,43,41,,47,44,44,,46,38,43,49,39,39,40,45,47,45,39,48,43,,41,31,29,34,32,35,31,,
