1913,72,71,56,40,50,46,41,46,,51,63,70,50,48,38,48,42,48,63,62,34,19,99,52,47,45,45,46,54,50,45,51.8
1911,65,51,49,,50,TS,5,56,60,50,50,49,99,15,L,LL,54,50,50,50,th,55,58,63,"hq
L","63
G",65,65,65,54,51,"57.6
5"
1915,67,58,52,S,6,61,67,74,25,,6,,,,,67,,2-,,70,76,23,55,-50,59,,62,29,65,65,59,613
1916,57,48,49,52,56,,,59,62,62,65,·69,75,9,68,75,,55,53,63,S,56,57,60,62,65,51,Sti,43,48,,584
1917,69,7/,75,81,176,78,22,TL,77,77,,8.9,68,72,-66,,as,52,,54,60,,57,51,47,47,45,,38,R,,67.8
1918,86,82,67,70,5,55,60,66,69,69,08,ZZ,74,69,51,54,49,55,64,66,53,49,48,45,49,50,49,,,53,54,"60.8
60.5"
1919,31,49,32,,68,73,73,62,,49,54,64,"59
3",,,65,57,53,53,60,34,45,35,34,32,83,36,,36,87,27,"50,8"
1920,54,52,60,74,76,72,75,64,17,13,53,46,49,49,42,45,44,44,15,,39,44,46,52,,,58,43,,47,44,52.0
1921,60,9,76,"V
32",,70,70,75,70,72,73,6,65,,6.,55,53,60,,52,St,46,47,St,50,48,+,60,,N,,129
1922,73,,67,,,,73,27,,83,69,,,63,65,Z,,,,53,,,65,8,$9,58,45,44,45,43,,"1.4
19"
1923,18,08,77,575,66,,42,46,58,52,,62,62,6.3,50,49,49,5%,87,63,59,45,50,28,55,52,85,44,46,49,44,535
1924,47,50,45,53,53,57,60,43,39,57,TH,49,55,62,67,53,51,"L
53",58,60,56,60,53,62,,"49
56",49,41,"40
41","35
40",36,50.8
"1975
25",59,60,62,"V
66",67,58,52,58,3,57,53,59,60,,29,59,29,61,60,75,"67
69",58,"4%
49",So,53,49,,3,+3,49,49,563
1926,,,"L
56",62,,62,49,53,,56,53,6,5,63,,65,56,55,59,62,66,29,,"L
59",62,56,5,51,52,52,55,57
1927,55,,51,49,48,49,55,62,59,51,52,65,,,73,75,,74,73,57,70,63,56,44,75,59,56,58,46,44,41,189
1928,,53,52,54,,65,,,,45,,48,51,2,50,,,62,59,49,,,57,9,,15,42,,S,57,49,593
1929,68,66,,77,67,"2
20",55,55,5-6,60,62,66,22,75,74,ZZ,,57,59,64,,,67,66,,60,,48,46,46,,6250
1930,58,66,,3,,,2,49,570,50,52,53,52,47,40,,43,43,,45,42,5=3,,52,46,53,,57,56,,53,3.3
1931,28,77,,LO,29,25,,,59,62,,F,,,,68,,58,,50,54,25,"4
4",50,53,,48,47,52,L,,58.45
"1932
8-311","8 V
81","77.
81","75-
77","764
75","·80
76","08
99",99,"55
S",SS,"58
51","58
189","56
68","64
56","65
64","55
59","53.
55",53,"-492
49",49,"57
51",57,"46
62","46
ph","464
44",46,54,58,54,47,75,43,58.37
