1933,38,"44
47",47,499,"47
51",51,,47,,40,9.77,47,47,474,34,42,"97
h",,,"34
30","30
33",33,38,48,5a,41,"45
47",47,43,"43
35",357,"42.5-
4245"
1934,47,51,44,37,414,56,,51,524,58,55,530,37,"2/2
34",46,32,35,39,"33,",38.,42,"37
36",36,"3.5
39",,47,,47,381,420,44,42.90
1935,50,53,52,,,,41,#6,"38
38","39
39","48
48","44
48","45
43","45
48","3%
33","7.
32","40
40",41,+2,34,"30
30","31
31",27,"33
33",3,"3%
37","39
39","38.
38",27,21,4,"38.3
38.29"
1936,45,46,46,7,42,39,49,,,50,45,,44,49,34,38,41,46,16,38,28,30,35,28,26,36,22,36,39,28,39,"41.3
41.00"
1937,45,44,41,38,39,38,39,40,,46,44,46,48,45,,47,40,38,m,48,,51,50,48,43,47,53,50,48,43,41,"44, 3
44.00"
1938,37,15,52,44,,44,37,38,43,A,45,45,,,37,,31,35,41,44,42,43,43,43,46,42,43,45,45,40,37,"42.4
41.30"
1939,44,43,#3,42,43,36,33,32,36,44,41,44,44,,48,43,45,46,43,43,45,43,43,37,31,31,29,35,32,38,37,40.00
1940,46,45,,42,44,45,47,45,43,46,54,47,48,46,44,47,51,52,50,56,48,41,45,47,39,39,38,31,38,39,40,"43.
44.65"
1941,46,35,39,41,37,35,41,39,37,41,40,45,36,38,44,43,,48,47,48,41,43,38,41,41,40,42,42,37,31,35,40.4
1942,49,41,47,45,,54,46,45,49,5,43,39,39,42,41,37,40,44,43,43,43,45,32,29,31,42,37,29,29,34,32,40.9
1943,55,59,56,57,52,51,51,E,46,52,45,38,45,31,45,37,42,32,32,30,34,34,32,39,43,be,,40,88,32,32,42.0
bT,38,,45,15,22,3,,,,97,50,45,42,,,,2,46,48,49,46,,46,45,97,,S,,47,,,45.3
1945,47,51,45,41,,45,49,49,42,50,49,,46,50,53,48,45,,35,33,30,35,34,38,43,Ho,41,33,43,43,39,426
1946,49,42,,37,37,33,36,33,39,27,32,Th,36,40,31,16,28,27,32,38,41,43,38,40,48,32,30,26,29,32,31,35.4
1947,52,52,52,,45,,43,43,45,45,Th,40,45,,49,48,42,44,48,42,37,34,38,35,33,42,45,42,37,40,41,43.5
1948,39,,53,49,38,33,35,37,,40,43,41,42,45,39,27,32,38,35,36,40,45,50,50,35,,27,27,27,26,30,38.0
1949,nt,43,38,46,40,40,35,33,33,38,42,,,"35
440","40
32",32,"35
8","28
24",24,"24
28","28
26",36,,,42,41,,"4.
38",58,,38,36.8
1950,28,34,38,41,41,42,40,,32,42,50,49,50,19,41,41,40,44,47,25,38,34,38,39,,36,40,42,43,40,33,41.3
1951,53,50,48,4,44,,45,51,,57,49,46,444,46,35,37,TE,23,39,40,33,36,37,4,TE,25,30,34,39,26,22,39.9
52,46,50,49,42,41,45,50,84,43,40,45,,44,37,38,40,43,,43,43,50,46,44,45,34,33,,43,36,43,38,43.145
,43.5,43.0,,41.8,42-9,41.5,39.9,41.0,394,38.5,,39.7,39.9,41.1,40.4,40.3,39.6,36.7,36.8,37.4,33,37.3,36.3,37.8,38.6,38.4,32.6,35.7,35.L,37,343,
