1913,,,,70°,,"97""",24,22,12,24,,,14,,,,,,,,,,,70,,,,,,,07,1.93
,29,06,,,,,,,16,44,,03,,,,,,07,36,01,,,,,,,,,,M,105,
1915,16,69,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,2.3
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,15,,40,15,02,,30,,,,24,,13,02,,,,,,,,.09,04,,50,05,,,,"1,72"
1919,,,,,,,,,,,,,,,,,,,,,.05,17,,,,,,,07,,,"3.3
0.39"
1920,06,"3
28",,,,15,,,12,.08,23,,,02,,,,.05,,,,,,,,,30,fro,,,,/33
1921,,,,,,,,,,,,,,18,09,13,,,,,,,,05,,62,8,,,,,1.25
1922,,,12,,,,,,,,,,,,,,,,21,,,,05,,,,02,,,,"91""",0.72
1923,,,,,,.48,12,20,20,,,,,,23,.17,,,,,31,,,,,,,,,,,158
1924,,,,,,,,03,,,,,,,,,,,,,,,,,08,13,97,19,10,33.,18,707
1925,,,,,,,.01,,,06,,,,,,,,,,,,,,,,,,25,,,,80
1926,,36,,,,20,,,,.13,.05,25,.30,,,67,,,,,,,,.02,,89,,,,,,2.87
192;,,49,.82,tr,,,,,06,.051,tr,,,,,,,,,,,,899°,075,,,.059,,tr,021,,220
1928,,04,,21,,34,.06,,17,,,,,,,,,,,,,,,,,,,,,,,136
1929,,,,N,06,,,,17,,,,,,,,.06,,,,,,,,,,73,,,,,97
1930,,,,,,04,32,,,,,,,29,,,,,,,,,,03,26,,,,,,,"1,05"
1931,,,,70°,04,,,,,,,,,,,,04,,,,,24,10,19,,,15,30,,,,1.38
"8-11
32",,,,,,,,,,,90.,.32,74,12,,.02,,,,,.16,02,,,,,,02,37,.08,52,2.48
