1933,,,,,,,.06,.02,.17,,,,,.10,,,,.16,,,.50,,.48,,,.04,,.02,,,,1.55
1934,,,,,,,,,.45,,,.01,,,,,,,,,.17,,.01,,,,,,,,,.64
1935,,,,,,,,,,,,,,.15,.11,,,,,,,,,,,,,,,,,.26
1936,0.36,0.68,0.11,0.01,,,,,,,,,2.04,0.04,0.02,,,,,,,,,,,,,,,,,.25
1937,.02,,,,.27,,,,,,,,,,,,,,,,,,,,,,,,,,,.29
1938,,,,,,,.06,.49,,,,,,,,,,,,,,,,,,,,,,.32,,.87
1939,.04,,,,,,,,,,,.06,.02,.13,,,,,,,,,,,,,,,,,,.25
1940,,,.05,.01,.69,,,,,,,,.51,.04,,,.12,.80,,,,,,,,,.91,.29,,.36,,3.02
1941,.14,.22,.12,.13,,,.01,,,.06,.36,.15,.07,.01,.27,,,.47,.02,.01,,,,,,,,,,.04,,2.08
1942,,,,,,,,,,0.15,,,,,,,0.27,0.02,,,,,,,,,,,,0.02,,.46
1943,,.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.40
1944,,.03,,,,,,,,,,,,,,0.22,,,,0.06,,2.02,,,,,0.18,0.06,,,,.57
1945,,,,.02,.70,,,,,,,,,,.18,.19,.05,,,.63,,.99,.26,.06,.04,,,,,,,2.79
1946,,,.01,,.02,.15,.02,,,,,,,,.37,.02,.24,,,,,,,,,,,,,,,.83
1947,,,,,,,.30,,.29,,,,,,,1.80,.53,,.02,,,,,,,1.10,,,,,,4.04
1948,,,,,,,,,,,,,,,,.05,,,,,,,.13,,,.29,.27,,,,,.74
1949,,,,,.02,,,,,.08,.02,,,,.08,.29,,,,,,,,,,,,,,,,.99
1950,,,,,.09,,,,,,,,,,,,,,,,,,,,,.29,.32,,,,,.70
1951,,,,,,,,,,,.08,,,,,,,,,,,,,,.03,.16,,,,.19,,.46
1952,,,,,.32,.02,,,.39,.13,,,,,,,,,,,,,,,,,,,,,,.86
