1913,70.0,89.0,72,83.0,70.0,75.0,88.0,8.0,64.0,76.0,82.0,92.0,75.0,68.0,74.0,80.0,89.0,72.0,,85.0,,62.0,68.0,89.0,,75.0,77.0,80.0,,64.0,,75.4,74.11538461538461,74.16296296296296,74.16126373626375,74.16132233028785,74.16132037715371
,,90.0,80,68.0,69.0,,55.0,55.0,64.0,75.0,55.0,53.0,55.0,48.0,49.0,51.0,13.0,1.0,62.0,58.0,48.0,49.0,5.0,12.0,73.0,,58.0,,18.0,69.0,,,51.26923076923077,51.26923076923077,51.26923076923077,51.26923076923077,51.26923076923077
1915,73.0,76.0,83,87.0,85.0,,99.0,68.0,62.0,73.0,29.0,48.0,56.0,,69.0,74.0,81.0,84.0,76.0,79.0,76.0,,62.0,,75.0,63.0,60.0,68.0,72.0,75.0,,70.2,71.26923076923077,71.22962962962963,71.23104395604396,71.23099518616759,71.23099681183014
1916,82.0,76.0,59,,,74.0,83.0,29.0,59.0,,72.0,74.0,20.0,,,79.0,76.0,82.0,77.0,83.0,85.0,68.0,,59.0,2.0,64.0,62.0,65.0,76.0,,,70.2,65.47826086956522,65.675,65.6671304347826,65.6674331103679,65.66742190016103
1917,80.0,77.0,83,79.0,8.0,76.0,24.0,69.0,85.0,84.0,,28.0,,67.0,,84.0,86.0,89.0,95.0,86.0,83.0,,,,19.0,67.0,65.0,,76.0,23.0,,,66.65217391304348,66.65217391304348,66.65217391304348,66.65217391304348,66.65217391304348
1918,82.0,76.0,76,,85.0,88.0,,82.0,,82.0,85.0,79.0,,72.0,80.0,83.0,,85.0,89.0,88.0,80.0,59.0,54.0,,,,,90.0,74.0,71.0,,,79.04761904761905,79.04761904761905,79.04761904761905,79.04761904761905,79.04761904761905
1919,,82.0,89,22.0,64.0,2.0,70.0,62.0,71.0,,99.0,,75.0,75.0,83.0,85.0,76.0,91.0,71.0,65.0,74.0,74.0,81.0,78.0,,70.0,58.0,32.0,65.0,,,71.2,68.56,68.66153846153847,68.65777777777778,68.65791208791208,68.65790745652814
1920,89.0,86.0,88,88.0,77.0,12.0,80.0,80.0,67.0,25.0,72.0,53.0,58.0,58.0,74.0,83.0,85.0,66.0,77.0,19.0,58.0,57.0,30.0,,52.0,58.0,69.0,73.0,80.0,83.0,,,65.41379310344827,65.41379310344827,65.41379310344828,65.41379310344828,65.41379310344828
Tebl,70.0,60.0,62,,75.0,22.0,20.0,,60.0,65.0,,41.0,56.0,62.0,62.0,,8.0,,,60.0,58.0,,60.0,6.0,,64.0,22.0,,63.0,,,,49.8,49.8,49.8,49.8,49.8
2.167,,94.0,86,69.0,59.0,64.0,,65.0,73.0,,86.0,85.0,38.0,28.0,25.0,81.0,80.0,,22.0,,68.0,65.0,82.0,,,81.0,,,60.0,76.0,,74.7,66.04761904761905,66.44090909090909,66.42380952380952,66.424522005772,66.4244935064935
1923,,,81,68.0,77.0,,85.0,85.0,82.0,89.0,81.0,83.0,89.0,79.0,70.0,68.0,,74.0,73.0,74.0,,157.0,64.0,62.0,59.0,52.0,64.0,68.0,71.0,78.0,,58.4,77.32,76.5923076923077,76.61925925925927,76.6182967032967,76.61832989488163
1924,76.0,8.0,82,88.0,72.0,79.0,8.0,57.0,55.0,58.0,65.0,5.0,,85.0,79.0,77.0,,49.0,39.0,49.0,56.0,70.0,49.0,,40.0,8.0,58.0,69.0,,,,652.0,55.24,78.1923076923077,77.34222222222222,77.37258241758241,77.37153551429412
"1975
25",76.0,98.0,84,74.0,,,20.0,2.0,68.0,69.0,,78.0,28.0,26.0,,,71.0,99.0,57.0,64.0,70.0,,82.0,81.0,78.0,,,54.0,,,,,63.95,63.95,63.95,63.95,63.95
1926,67.0,67.0,74,76.0,77.0,72.0,65.0,69.0,74.0,63.0,69.0,19.0,69.0,,54.0,56.0,52.0,57.0,67.0,58.0,56.0,50.0,40.0,,53.0,58.0,,60.0,54.0,57.0,,61.4,60.48148148148148,60.51428571428572,60.513154533844194,60.51319223985891,60.51319102353586
1927,,74.0,70,6.0,73.0,54.0,45.0,57.0,19.0,54.0,56.0,44.0,46.0,59.0,,66.0,69.0,72.0,,,74.0,69.0,62.0,62.0,68.0,72.0,62.0,56.0,52.0,54.0,,62.4,57.5,57.68148148148149,57.675,57.67522349936144,57.67521604938272
1928,8.0,91.0,88,83.0,82.0,,,54.0,,72.0,22.0,55.0,9.0,23.0,,22.0,78.0,,51.0,,,84.0,85.0,35.0,,23.0,,32.0,23.0,62.0,,,51.523809523809526,51.523809523809526,51.523809523809526,51.52380952380953,51.52380952380954
1929,70.0,,99,,65.0,99.0,69.0,73.0,70.0,74.0,78.0,18.0,84.0,80.0,74.0,84.0,85.0,72.0,72.0,59.0,50.0,,8.0,50.0,49.0,50.0,52.0,57.0,19.0,67.0,,,63.96296296296296,63.96296296296296,63.96296296296297,63.96296296296297,63.96296296296297
1930,78.0,83.0,87,85.0,83.0,22.0,20.0,28.0,68.0,,63.0,85.0,65.0,62.0,22.0,22.0,28.0,29.0,22.0,,25.0,22.0,,55.0,60.0,20.0,23.0,53.0,,,,69.0,48.4,49.19230769230769,49.162962962962965,49.16401098901099,49.163974850181745
1931,26.0,8.0,86,84.0,,72.0,,89.0,65.0,,,,65.0,20.0,66.0,70.0,,57.0,,,,,64.0,,74.0,28.0,,,62.0,21.0,,6882.0,56.294117647058826,435.5,415.54179566563465,416.53970588235296,416.4921863482235
"1932
8-311",,,29,,,,,,,75.0,,,,,,18.0,,,52.0,,,,,,,,,,,,,,43.5,43.5,43.5,43.5,43.5
